id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
155;ЗАМЕСТИ СЛЕДЫ;sameßti ßledy;Die Spuren zuwehen.;Das, was als Beweisstück dienen könnte, beseitigen.;die Spuren verwischen;0.5;ЗАМЕСТИ СЛЕДЫ;zam’esti sl’edy;To sweep over one’s traces.;"To destroy something that can be used as evidence; to conceal one’s movements or activities.";To cover up one’s tracks/traces.;1.0
156;ЗАМКНУТЬСЯ В СЕБЕ;samknutza w ßebe;Sich in sich verschließen.;"Sich zurückziehen; die Menschen fliehen.";;0.0;ЗАМКНУТЬСЯ В СЕБЕ;zamknuttsa v s’eb’e;To get locked up in one’s own self.;"To become less sociable and more reserved; to withdraw from the society of one’s fellows; to retire into oneself.";"To shut oneself up; to withdraw/retire into one’s shell.";0.0
157;ЗАМОРИТЬ ЧЕРВЯЧКА;samoritj tscherwjatschka;Ein Würmchen vertilgen.;Mit einem kleinen Imbiß den größten Hunger stillen.;"einen Bissen zu sich nehmen; einen Happen essen.";0.0;ЗАМОРИТЬ ЧЕРВЯЧКА;zamorit’ cherv’achka;To underfeed the little worm.;To have a little to eat.;"To have a snack; to have a bite; to take the edge off one’s hunger.";0.0
158;ЗАРУБИТЬ НА НОСУ;sarubitj na noßu;"In die Nase einkerben; eine Kerbe in die Nase machen.";"Sich etw. gut merken; sich etw. fest einprägen.";sich etw. hinter die Ohren schreiben;0.0;ЗАРУБИТЬ НА НОСУ;zarubit’ na nosu;To make a notch on one’s nose.;To remember something firmly, forever.;"Bear it in mind; put that into your pipe and smoke it.";0.0
159;ЗАТКНУТЬ ЗА ПОЯС;satknutj sa pojaß;Hinter den Gürtel stecken.;"J-m überlegen sein; j-n übertreffen.";j-n in die Tasche stecken;0.5;ЗАТКНУТЬ ЗА ПОЯС;zatknut’ za poyas;To stick someone behind one’s belt.;To surpass, to outstrip, to outdo someone.;"To outshine someone; to knock someone into a cocked hat.";1.0
160;ЗВЁЗД С НЕБА НЕ ХВАТАЕТ;swjosd ß neba ne chwatajet;Er greift die Sterne nicht vom Himmel.;"Er zeichnet sich durch nichts Besonderes aus; er hat mittelmäßige Fähigkeiten.";j-d ist kein großes Licht;0.0;ЗВЁЗД С НЕБА НЕ ХВАТАЕТ;zv’ozd s n’eba n’e khvatayet;He/she doesn’t snatch stars from the sky.;"One isn’t a remarkable person; one is a person of average or mediocre abilities.";He won’t set the Thames/world on fire;0.0
161;ЗЕЛЁНАЯ УЛИЦА;seljonaja uliza;Grüne Straße.;Es gibt keine Hindernisse für j-n in etw.;grünes Licht;0.0;ЗЕЛЁНАЯ УЛИЦА;z’el’onaya ulitsa;A green street.;"An open thoroughfare; also used to indicate that there is nothing standing in one’s way.";The green light;0.5
162;ЗНАТЬ что-либо ВДОЛЬ И ПОПЕРЁК;snatj (tschto-libo) wdolj i poperjok;Etw. kreuz und quer kennen. ;Etw. bis in die Feinheiten genau kennen.;"etw. in- und auswendig kennen; etw. aus dem Effeff kennen";0.0;ЗНАТЬ что-либо ВДОЛЬ И ПОПЕРЁК;znat’ vdol’ i pop’er’ok;To know something lengthwise and crosswise.;To know something thoroughly in all its details.;To know something inside out.;0.5
163;ЗНАТЬ ВСЕ ХОДЫ И ВЫХОДЫ;snatj wße chody i wychody;Alle Ein- und Ausgänge kennen.;"Sich sehr genau in einer Sache auskennen; genau wissen, was in einer bestimmten Situation zu tun ist.";alle Schliche kennen;0.0;ЗНАТЬ ВСЕ ХОДЫ И ВЫХОДЫ;znat’ vs’e khody i vykhody;To know all the entrances and exits;"To know all the details or intricacies; to be thoroughly familiar with what is to be done under the circumstances.";"To know one’s way around; to know all the ins and outs; to know the ropes.";0.5
164;ЗНАТЬ КАК СВОИ ПЯТЬ ПАЛЬЦЕВ;snatj kak ßwoi pjatj paljzew;Wie seine fünf Finger kennen.;Etw. ausgezeichnet, gründlich kennen.;etw. wie seine Westentasche kennen;0.0;ЗНАТЬ КАК СВОИ ПЯТЬ ПАЛЬЦЕВ;znat’ kak svoyi p’at’ pal’tsev;To know something as well as one’s own five fingers.;"To know something thoroughly; to be quite familiar with something.";To know something like the palm of one’s hand.;0.5
165;ЗНАТЬ МЕРУ;snatj meru;Das Maß kennen.;"Die Grenzen seiner Möglichkeiten kennen; maßvoll sein; maßhalten.";;0.0;ЗНАТЬ МЕРУ;znat’ m’eru;To know the measure.;"To know one’s limits; to be moderate; to know when to stop.";;0.0
166;ЗОЛОТАЯ СЕРЕДИНА;solotaja ßeredina;Die goldene Mitte.;Eine Handlungsweise, die kein Risiko eingeht.;der goldene Mittelweg;0.5;ЗОЛОТАЯ СЕРЕДИНА;zolotaya s’er’edina;The golden middle.;"The safe, prudent way between extremes; the principle of moderation.";The golden mean.;1.0
167;ЗОЛОТОЕ ДНО;solotoje dno;Der goldene Boden.;Eine reiche, unerschöpfliche Einkommensquelle.;eine Goldgrube;0.5;ЗОЛОТОЕ ДНО;zolotoye dno;A golden bottom.;An inexhaustible source of wealth.;A gold mine.;1.0
168;ЗОЛОТЫЕ РУКИ;solotyje ruki;Goldene Hände.;"Ein Meister seines Fachs; ein sehr geschickter Mensch, unter dessen Händen alles gelingt, was er beginnt.";;0.0;ЗОЛОТЫЕ РУКИ;zolotyye ruki;Golden hands.;A master of one’s craft.;"A clever pair of hands; skillful/deft fingers.";0.5
169;ЗОНДИРОВАТЬ ПОЧВУ;sondirowatj potschwu;Den Boden sondieren.;"J-n aushorchen; j-s Meinung, die Situation auskundschaften, um die eigenen Erfolgsaussichten abzuschätzen.";;0.0;ЗОНДИРОВАТЬ ПОЧВУ;zondirovat’ pochvu;To probe the ground.;To try cautiously to discover someone’s inclinations, to test the views of others, to sound out one’s chances of success beforehand.;"To find out how the things stand; to explore the ground; to put forth/throw out a feeler.";0.0
170;ИГРАТЬ ПЕРВУЮ СКРИПКУ;igratj perwuju ßkripku;Die erste Geige spielen.;Eine führende Rolle in einem Kreis oder bei einer Sache spielen.;die erste Geige spielen;1.0;ИГРАТЬ ПЕРВУЮ СКРИПКУ;igrat’ pervuyu skripku;To play the first violin.;To play a leading role in some undertaking.;To play first fiddle;1.0
171;ИГРАТЬ С ОГНЁМ;igratj ß ognjom;Mit dem Feuer spielen.;Unvorsichtig handeln, ohne an die Folgen zu denken.;mit dem Feuer spielen;1.0;ИГРАТЬ С ОГНЁМ;igrat’ s ogn’om;To play with fire.;To trifle with something likely to prove dangerous without considering the consequences.;"To play with edge-tools; to play with fire";1.0
172;ИДТИ В ГОРУ;idti w goru;Bergauf gehen.;Erfolgreich sein. Karriere machen.;;0.0;ИДТИ В ГОРУ;itti v goru;To go uphill.;"To gain influence; to attain promotion; to make a prosperous career.";"To go up/rise in the world; to climb up the ladder.";0.5
173;ИДТИ В ОГОНЬ И В ВОДУ;idti w ogonj i w wodu;Ins Feuer und ins Wasser gehen.;Eine selbstlose Handlung begehen.;für j-n durchs Feuer gehen;0.5;ИДТИ В ОГОНЬ И В ВОДУ;itti v ogon’ i v vodu;To go into fire and water.;To submit to any ordeal, to encounter or face the greatest dangers or hardest chances, to be ready to do anything for someone or something.;To go through fire and water;0.5
174;ИДТИ КУДА ГЛАЗА ГЛЯДЯТ;idti kuda glasa gljadjat;Gehen wohin die Augen sehen.;Ohne ein bestimmtes Ziel gehen.;immer der Nase nach gehen;0.0;ИДТИ КУДА ГЛАЗА ГЛЯДЯТ;itti kuda glaza gl’ad’at;To walk wherever one’s eyes are looking.;"To wander aimlessly; to go wherever one’s feet will carry one.";;0.0
175;ИДТИ НА ПОВОДУ;idti na powodu;Am Zügel gehen.;In seinem Tun von j-m abhängig sein.;am Gängelband geführt werden;0.0;ИДТИ НА ПОВОДУ;itti na povodu;To walk on someone’s rein.;To be dependent on someone.;"To be led by; to be under someone’s thumb.";0.5
176;ИДТИ ПО чьим-либо СТОПАМ;idti po (tschjim-libo) ßtopam;Nach j-s Fuß gehen.;"J-m etw. nachmachen; j-s Beispiel folgen.";in j-s Fußstapfen treten;0.5;ИДТИ ПО чьим-либо СТОПАМ;itti po stopam;To walk in someone’s footsteps.;"To follow someone’s example; to be someone’s disciple.";To follow in someone’s footsteps;0.5
177;ИДТИ ПРОТИВ ТЕЧЕНИЯ;idti protiw tetschenija;Gegen die Strömung gehen.;Der vorherrschenden Meinung, der Tradition zuwiderhandeln.;gegen den Strom schwimmen;0.5;ИДТИ ПРОТИВ ТЕЧЕНИЯ;itti protiv t’echeniya;To go against the stream.;To act against the general trend of thought, opinion, custom, etc.;To go against the tide/current/stream.;1.0
178;ИЗЛИТЬ ДУШУ;islitj duschu;Die Seele ausgießen.;J-m offen erzählen, was einen bewegt.;j-m sein Herz ausschütten;0.5;ИЗЛИТЬ ДУШУ;izlit’ dushu;To pour out one’s soul.;To relieve one’s mind by talking about one’s troubles.;"To unbosom oneself; to unburden one’s heart; to bare one’s heart/soul.";1.0
179;ИЗМЕРИТЬ кого-либо ВЗГЛЯДОМ;ismeritj (kowo-libo) wsgjadom;J-n mit dem Blick messen.;J-n hochmütig, verächtlich betrachten.;;0.0;ИЗМЕРИТЬ кого-либо ВЗГЛЯДОМ;izm’erit’ vzgl’adom;To measure someone with one’s glance.;To examine someone closely from head to toe.;"To look someone up and down; to measure someone with one’s eye.";1.0
180;ИЗ ОДНОГО ТЕСТА;is odnowo teßta;Aus demselben Teig (gemacht).;Einen ähnlichen Charakter, ähnlich Ansichten haben wie die anderen.;aus demselben Holz geschnitzt;0.0;ИЗ ОДНОГО ТЕСТА;iz odnovo t’esta;Made of the same dough.;They are just about the same in disposition, tastes, etc.;"Two of a kind; the same breed; cut from the same cloth; birds of one feather.";0.0
181;ИЗ РЯДА ВОН ВЫХОДЯЩИЙ;is rjada won wychodjastschij;Aus der Reiche hinausgehend.;Außergewöhnlich, hervorragend.;;0.0;ИЗ РЯДА ВОН ВЫХОДЯЩИЙ;iz r’ada von vykhod’ashchy;Going out of the line.;Outstanding, exceptional, out of the ordinary.;Out of the common run;0.5
182;ИМЕТЬ ВЕС;imetj weß ;Gewicht haben.;"Einfluß haben; Autorität besitzen.";Gewicht haben;1.0;ИМЕТЬ ВЕС;im’et’ v’es;To have weight.;To be highly influential or important.;To carry a lot of weight;1.0
183;ИМЕТЬ ГОЛОВУ НА ПЛЕЧАХ;imetj golowu na pletschach;Den Kopf auf den Schultern haben.;"Ein heller Kopf sein; Verstand haben.";Köpfchen haben;0.0;ИМЕТЬ ГОЛОВУ НА ПЛЕЧАХ;im’et’ golovu na plechakh;To have a head on one’s shoulders.;"To be intelligent and reasonable; to be able to think for oneself.";To have a good head on one’s shoulders.;0.5
184;ИСКАТЬ ВЧЕРАШНИЙ ДЕНЬ;ißkatj wtscheraschnij denj;Den gestrigen Tag suchen.;Etw. unwiederbringlich Vergangenes zu finden hoffen.;den gestrigen Tag suchen;1.0;ИСКАТЬ ВЧЕРАШНИЙ ДЕНЬ;iskat’ vcherashny d’en’;To search for yesterday.;To waste time on a hopeless quest.;To go on a wild-goose chase;0.0
185;ИСКАТЬ / НЕ НАЙТИ ДНЁМ С ОГНЁМ;ißkatj / ne najti dnjom ß ognjom;Am Tag mit Licht suchen / nicht zu finden sein.;Etw. ist sehr schwer zu finden.;;0.0;ИСКАТЬ / НЕ НАЙТИ ДНЁМ С ОГНЁМ;iskat’/n’e nayti dn’om s ogn’om;To search for someone or something by day with a light;"To seek in vain; to look hard for someone or something with little chance of finding; it’s nowhere to be found.";"You will not find it in a month of Sundays; you can’t get it for love or money.";0.0
186;ИСКАТЬ ИГОЛКУ В СТОГЕ СЕНА;ißkatj igolku w ßtoge ßena;Eine Nadel im Heuschober suchen.;"Einen kleinen Gegenstand unter einer Fülle anderer Gegenstände suchen; einen Menschen in einer Menschenmenge suchen.";eine Stecknadel im Heuhaufen suchen;0.5;ИСКАТЬ ИГОЛКУ В СТОГЕ СЕНА;iskat’ igolku v stog’e s’ena;To look for a needle in a bundle of hay.;To look for something or someone virtually impossible to find.;To look for a needle in a haystack;1.0
187;ИСКРЫ ИЗ ГЛАЗ ПОСЫПАЛИСЬ;ißkry is glas posypalißj;Funken regneten aus den Augen.;Durch einen schmerzhaft starken Schlag auf den Kopf beginnt es in den Augen zu flimmern;j-d sieht Sterne;0.0;ИСКРЫ ИЗ ГЛАЗ ПОСЫПАЛИСЬ;iskry iz glaz posypalis’;Sparks began to pour out of one’s eyes.;A sensation of light flashing before one’s eyes, caused by a blow in the face or on the head.;To see stars;0.0
188;ИСПИТЬ ЧАШУ ДО ДНА;ißpitj tschaschu do dna;Den Becher bis auf den Grund austrinken.;Kummer bis zum Äußersten leiden müssen.;den Kelch bis zur Neige leeren;0.5;ИСПИТЬ ЧАШУ ДО ДНА;ispit’ chashu do dna;To drink the bowl to the bottom.;To experience ordeals, hardships, sorrows, misfortunes in full measure.;To drink /drain the cup (of bitterness, sorrow, etc.) to the dregs.;1.0
189;ИСПОРТИТЬ ВСЮ МУЗЫКУ;ißportitj wßju musyku;Die ganze Musik verderben.;J-m den ganzen Plan vermasseln, einer Sache schaden.;;0.0;ИСПОРТИТЬ ВСЮ МУЗЫКУ;isportit’ vs’u muzyku;To spoil all the music;"To upset a plan; to disrupt the procedure; to cause disturbance.";"To upset someone’s apple-cart; to play the very devil with something.";0.0
190;И УХОМ HE ВЕДЁТ;i uchom ne wedjot;Er bewegt nicht einmal das Ohr.;"Er schenkt der Sache keinerlei Beachtung; er macht sich nichts daraus.";er zuckt nicht mit der Wimper;0.0;И УХОМ HE ВЕДЁТ;i ukhom n’e v’ed’ot;Doesn’t wiggle an ear.;"One doesn’t pay the least attention to something; one doesn’t react at all; one deliberately shows indifference.";Without batting an eyelid;0.0
191;ИЩИ ВЕТРА В ПОЛЕ;istschi wetra w pole;Suche den Wind auf dem Feld.;Nutzloses Suchen nach etw.;;0.0;ИЩИ ВЕТРА В ПОЛЕ;ishchi v’etra v pol’e;Look for the wind in the field.;"It’s gone without leaving a trace; it’s nowhere to be found and it can never be returned.";"To look for a needle in a haystack; to go on a wild-goose chase.";0.0
192;КАК АРШИН ПРОГЛОТИЛ;kak arschin proglotil;Als hätte er einen Arschin verschluckt.;Er hält sich unnatürlich gerade.;als hätte er einen Stock verschluckt;0.5;КАК АРШИН ПРОГЛОТИЛ;kak arshin proglotil;As if one had swallowed an arshin (a ruler one arshin in length equivalent to 28 inches);"Unnaturally erect, quite stiff; rigid, upright in bearing.";As stiff as a poker.;0.0
193;КАК БЕЗ РУК;kak bes ruk;Gleichsam ohne Hände.;Völlig hilflos.;;0.0;КАК БЕЗ РУК;kak b’ez ruk;As if without the hands.;To feel quite helpless without something or someone.;;0.0
194;КАК В АПТЕКЕ;kak w apteke;Wie in der Apotheke.;Sehr genau.;;0.0;КАК В АПТЕКЕ;kak v apt’ek’e;Just like at the chemist’s.;"Exactly, precisely; just so, just right.";To a T.;0.0
195;КАК В ВОДУ ГЛЯДЕЛ;kak w wodu gljadel;Als hätte er ins Wasser gesehen.;Als hätte er es vorher gewußt.;;0.0;КАК В ВОДУ ГЛЯДЕЛ;kak v vodu gl’ad’el;Like having looked into the water.;"As if something had been known beforehand; someone was able to foresee future events.";He must have second sight;0.0
196;КАК В ВОДУ ОПУЩЕННЫЙ;kak w wodu opustschennyj;Wie ins Wasser getaucht.;Deprimiert, niedergedrückt.;wie ein begossener Pudel;0.0;КАК В ВОДУ ОПУЩЕННЫЙ;kak v vodu opushchenny;As if lowered into the water.;Dejected, downcast, depressed, crest-fallen.;To be down in the chops/mouth;0.0
197;КАК ВЕТРОМ СДУЛО;kak wetrom ßdulo; Wie vom Wind fortgeweht.;J-d ist unverhofft und augenblicklich verschwunden.;wie weggeblasen;0.0;КАК ВЕТРОМ СДУЛО;kak v’etrom sdulo;As if the wind blew it away.;Someone or something has rapidly and mysteriously disappeared without a trace.;To vanish into thin air.;1.0
198;КАК ГОРА С ПЛЕЧ СВАЛИЛАСЬ;kak gora ß pletsch ßwalilaßj;Gleichsam ein Berg von den Schultern gestürzt.;Sehr erleichtert sein.;ihm ist ein Stein vom Herzen gefallen;0.0;КАК ГОРА С ПЛЕЧ СВАЛИЛАСЬ;kak gora s pl’ech svalilas’;As if a mountain had fallen off one’s shoulders.;Someone is relieved of anxiety, doubt, cares.;A load off one’s mind;0.0
199;КАК ГРОМ СРЕДИ ЯСНОГО НЕБА;kak grom ßredi jasnowo neba;Wie ein Donner mitten am klaren Himmel.;Unerwartet, plötzlich.;wie ein Blitz aus heiterem Himmel;0.5;КАК ГРОМ СРЕДИ ЯСНОГО НЕБА;kak grom sr’edi yasnovo n’eba;Like a thunder-clap out of a clear sky.;Suddenly, unexpectedly (said of a sudden and surprising event generally of an unpleasant nature).;Like a bolt from the blue/out of a clear sky.;1.0
200;КАК ДВАЖДЫ ДВА ЧЕТЫРЕ;kak dwashdy dwa tschetyre;Wie zweimal zwei vier ist.;Völlig klar, unumstritten.;so, wie zweimal zwei vier ist;1.0;КАК ДВАЖДЫ ДВА ЧЕТЫРЕ;kak dvazhdy dva cheryr’e;Like two times two is four.;"Easy to see or comprehend; as plain or clear as can be; obvious to everyone.";"As plain as a pikestaff; as plain as the nose on your face.";0.0
201;КАК ДВЕ КАПЛИ ВОДЫ;kak dwe kapli wody;Wie zwei Wassertropfen.;Sehr ähnlich.;wie ein Ei dem anderen;0.0;КАК ДВЕ КАПЛИ ВОДЫ;kak dv’e kapli vody;Like two drops of water.;"To bear a very close resemblance; to be exactly alike.";"As like as two peas in a pod; not a pin to choose between them.";0.0
202;КАК ЗА КАМЕННОЙ СТЕНОЙ;kak sa kamennoj ßtenoj;Gleichsam hinter einer Steinmauer. ;Sich unter j-s zuverlässigem Schutz befinden.;;0.0;КАК ЗА КАМЕННОЙ СТЕНОЙ;kak za kam’ennoy st’enoy;As though behind a stone wall.;"To be well protected; to be very secure; to be perfectly safe.";As safe as houses.;0.0
203;КАК ИЗ-ПОД ЗЕМЛИ ВЫРОС;kak iß-pod semli wyroß;Gleichsam aus der Erde gewachsen.;J-d ist plötzlich, unerwartet erschienen.;;0.0;КАК ИЗ-ПОД ЗЕМЛИ ВЫРОС;kak is-pod z’emli vyros;As if grown up from under the ground.;Someone appeared all of a sudden, unexpectedly, from nowhere.;Out of the blue.;0.0
204;КАК ИЗ РОГА ИЗОБИЛИЯ;kak is roga isobilija;Wie aus dem Füllhorn.;In großer Menge, unerschöpflich.;;0.0;КАК ИЗ РОГА ИЗОБИЛИЯ;kak iz roga izobiliya;As if out of the horn of plenty.;In great plenty, in abundance;;0.0
205;КАК КОРОВА ЯЗЫКОМ СЛИЗАЛА;kak korowa jasykom ßlisala;Als hätte die Kuh es mit der Zunge weggeleckt.;J-d, etw. ist schnell und spurlos verschwunden.;;0.0;КАК КОРОВА ЯЗЫКОМ СЛИЗАЛА;kak korova yazykom slizala;As if a cow has licked it off with its tongue.;Someone or something has disappeared without a trace.;To vanish/disappear into thin air.;0.0
206;КАК НА ИГОЛКАХ;kak na igolkach;Wie auf Nadeln.;Sehr beunruhigt, nervös sein.;wie auf Nadeln sitzen;0.5;КАК НА ИГОЛКАХ;kak na igolkakh;As if on needles.;Racked with anxiety, in a state of acute discomfort, uneasiness or suspense.;"To be on tenter-hooks; to be on pins and needles; to be on thorns/wires.";0.5
207;КАК НЕБО ОТ ЗЕМЛИ;kak nebo ot semli;(Ein Unterschied) wie Himmel und Erde.;Sich sehr deutlich voneinander unterscheiden.;ein himmelweiter Unterschied;0.5;КАК НЕБО ОТ ЗЕМЛИ;kak n’ebo ot z’emli;As far off as heaven from earth.;To differ essentially, sharply, strongly.;There is a world of difference between them;0.0
208;КАК ОБ СТЕНКУ ГОРОХ;kak ob ßtenku goroch;Wie die Erbse von der Wand.;Wirkungslos an j-m abprallen.;wie gegen eine Wand reden;0.0;КАК ОБ СТЕНКУ ГОРОХ;kak ob st’enku gorokh;Like throwing peas against the wall.;To say something to which not the slightest attention is paid (often uttered in irritation).;You might as well talk to a brick wall/to the wind;0.0
209;КАК ПО МАСЛУ;kak po maßlu;Wie über Butter.;Ohne Schwierigkeiten, reibungslos.;wie geschmiert;0.0;КАК ПО МАСЛУ;kak po maslu;Like sliding on oil.;Things are going well, smoothly, swimmingly, without any obstruction or complication.;"Like clockwork; without a hitch";0.0
210;КАК ПО НОТАМ РАЗЫГРАТЬ;kak po notam rasygratj;Wie nach Noten spielen.;Etw. ohne Schwierigkeiten nach einem sorgfältig ausgearbeiteten Plan tun.;es geht wie nach Noten;0.5;КАК ПО НОТАМ РАЗЫГРАТЬ;kak po notam razygrat’;As if played from music.;"To accomplish something without any difficulty, efficiently, according to a carefully thought-out plan; to perform something with clockwork precision.";;0.0
211;КАК РУКОЙ СНЯЛО;kak rukoj ßnjalo;Gleichsam mit der Hand weggenommen.;Auf einmal völlig verschwunden, vergangen (Schmerzen, Müdigkeit).;wie weggewischt;0.0;КАК РУКОЙ СНЯЛО;kak rukoy sn’alo;As if taken off by the hand.;Suddenly gone, completely disappeared as if by magic (usually said of pain or fatigue);;0.0
212;КАК РЫБА В ВОДЕ;kak ryba w wode;Wie ein Fisch im Wasser.;Sich frei, sehr angenehm fühlen.;"sich wie ein Fisch im Wasser fühlen; j-d ist in seinem Element";0.5;КАК РЫБА В ВОДЕ;kak ryba v vod’e;Like a fish in water.;"To feel free and easy; to be in suitable or satisfying surroundings; to find something natural and easy to do.";"To feel in one’s element; to feel quite at home; to take to something like a duck to water; like a fish in water";0.0
213;КАК С ГУСЯ ВОДА;kak ß gußja woda;Wie das Wasser von der Gans. ;"Es macht j-m nichts aus; es läßt j-n kalt.";das gleitet an ihm ab;0.0;КАК С ГУСЯ ВОДА;kak s gus’a voda;Like water off a goose.;"Without producing any effect; without paying the slightest attention";Like water off a duck’s back.;0.5
214;КАК СЕЛЬДЕЙ В БОЧКЕ;kak ßeljdej w botschke;Wie die Heringe im Faß.;Dicht gedrängt, nicht durchzukommen (durch die Menschenmenge).;wie die Heringe;0.5;КАК СЕЛЬДЕЙ В БОЧКЕ;kak sel’dey v bochk’e;Like herrings in a barrel.;The place is so crowded that one can’t push one’s way through.;Packed like sardines;0.5
215;КАК СКВОЗЬ ЗЕМЛЮ ПРОВАЛИЛСЯ;kak ßkwosj semlju prowalilßja;Als wäre er durch die Erde gefallen.;Spurlos verschwunden.;wie vom Erdboden verschluckt;0.0;КАК СКВОЗЬ ЗЕМЛЮ ПРОВАЛИЛСЯ;kak skvoz’ z’eml’u provalils’a;As if someone or something has fallen through the ground.;Someone or something has suddenly and unexpectedly disappeared in a mysterious manner, without a trace.;"To vanish into thin air; as though the earth had opened and swallowed it up.";0.5
216;КАК СНЕГ НА ГОЛОВУ;kak ßneg na golowu;Wie Schnee auf den Kopf.;Völlig unerwartet, ganz plötzlich.;wie ein Blitz aus heiterem Himmel;0.0;КАК СНЕГ НА ГОЛОВУ;kak sn’eg na golovu;Like snow onto the head.;To appear or arrive suddenly and unexpectedly.;"To come like a bolt from/out of the blue; to drop from the clouds.";0.0
217;КАК ЧЁРТ ОТ ЛАДАНА;kak tschort ot ladana;Wie der Teufel vor dem Weihrauch (fliehen).;Sich mit allen Kräften vor j-m oder etw. zu retten suchen.;etw. fürchten wie der Teufel das Weihwasser;0.0;КАК ЧЁРТ ОТ ЛАДАНА;kak chort ot ladana;Like the devil running away from the incense.;To get rid of or shun someone or something.;To avoid someone or something like the plague;0.0
218;КАМЕНЬ НА СЕРДЦЕ;kamenj na ßerze;Ein Stein auf dem Herzen.;J-d empfindet ein quälendes, bedrückendes Gefühl.;etw. liegt j-m schwer auf der Seele;0.5;КАМЕНЬ НА СЕРДЦЕ;kam’en’ na sertse;A stone on one’s heart.;Someone feels depressed or unhappy.;"A heavy heart; to have something weigh upon one’s heart.";0.5
219;КАМЕНЬ С ДУШИ СВАЛИЛСЯ;kamenj ß duschi ßwalilßja;Ein Stein ist von der Seele gefallen.;J-d empfindet ein Gefühl seelischer Erleichterung, der Erlösung von etw. Quälendem.;j-m fiel ein Stein vom Herzen;0.5;КАМЕНЬ С ДУШИ СВАЛИЛСЯ;kamen’s dushy svalils’a;A stone has fallen off one’s heart.;Someone feels relieved of a burden of an unpleasant, sad or oppressive feeling.;A load off one’s mind;0.0
220;КАМНЯ НА КАМНЕ HE ОСТАВИТЬ;kamnja na kamne ne oßtawitj;Einen Stein nicht auf dem (anderen) Stein lassen.;Etw. scharf kritisieren, kein Argument gelten lassen.;keinen Stein auf dem anderen lassen;1.0;КАМНЯ НА КАМНЕ HE ОСТАВИТЬ;kamn’a na kamn’e n’e ostavit’;Not to leave one stone upon another stone.;"To criticize something severely by pointing out the weak points or faults; to utterly demolish an argument.";"To pull/take something to pieces; to make mincemeat of something.";0.0
221;КАПЛЯ В МОРЕ;kaplja w more;Ein Tropfen im Meer.;Eine verschwindend kleine Menge (im Vergleich zu etw.).;ein Tropfen auf den heißen Stein;0.0;КАПЛЯ В МОРЕ;kapl’a v mor’e;A drop in the sea.;A part so small as to be insignificant;A drop in the ocean/bucket;0.5
222;КАТАТЬСЯ КАК СЫР В МАСЛЕ;katatza kak syr w maßle;Sich wie der Käse in der Butler wälzen.;Im Zufriedenheit, im Wohlstand leben.;wie die Made im Speck leben;0.0;КАТАТЬСЯ КАК СЫР В МАСЛЕ;katattsa kak syr v masl’e;To be rolling like cheese in butter.;To be comfortably off.;"To live in clover; to live on the fat of the land; to live like a king.";0.0
223;КАТИТЬСЯ ПОД ГОРУ;katitza pod goru;Bergab rollen.;"Sich in negativer Weise entwickeln; sich verschlechtern. ";bergab gehen;0.5;КАТИТЬСЯ ПОД ГОРУ;katittsa pod goru;To slide downhill;To deteriorate, to decline, to become worse.;To go downhill;1.0
224;КАШИ НЕ СВАРИШЬ с кем-либо;kaschi ne ßwarisch (ß kem-libo);Mit j-m kann man keinen Brei kochen.;"Sich mit j-m nicht einigen können; nicht übereinkommen mit j-m.";mit j-m nicht unter einen Hut kommen;0.0;КАШИ НЕ СВАРИШЬ с кем-либо;kashy n’e svarish;You won’t cook kasha with someone.;"You can’t get on with someone; you won’t get anywhere with someone; it’s difficult to work with someone.";;0.0
225;КИДАЕТ В ЖАР;kidajet w shar;J-d wird in Hitze geworfen.;"J-d gerät in starke Erregung; j-d wird sehr aufgeregt.";es überkommt j-n heiß;0.0;КИДАЕТ В ЖАР;kidayet v zhar;Thrown into a heat.;"He/she becomes extremely agitated or anxious; he/she feels hot all over.";;0.0
226;КЛЕВАТЬ НОСОМ;klewatj noßom;Mit der Nase picken.;"Einnicken; fur einen Moment leicht einschlafen.";;0.0;КЛЕВАТЬ НОСОМ;kl’evat’ nosom;To peck with one’s nose.;"To nod; to be drowsy.";;0.0
227;КЛИН КЛИНОМ ВЫШИБАТЬ;klin klinom wyschibatj;Einen Keil mit einem (anderen) Keil herausschlagen.;Ein Übel durch ein anderes bekämpfen.;den Teufel mit Beelzebub austreiben;0.0;КЛИН КЛИНОМ ВЫШИБАТЬ;klin klinom vyshybat’;To drive out one wedge with another.;To destroy the results of an action by the means this action has been previously caused.;"To fight fire with fire; like cures like; nail drives out nail.";0.5
228;КОГДА РАК СВИСТНЕТ;kogda rak ßwißnet;Wenn der Krebs pfeift.;Unbekannt wann, niemals.;"wenn Ostern und Pfingsten auf einen Tag fallen; am Nimmerleinstag";0.0;КОГДА РАК СВИСТНЕТ;kogda rak svisn’et;When the crayfish whistles.;"No one knows when; never.";"When pigs fly; when two Fridays come together";0.0
229;КОТ НАПЛАКАЛ;kot naplakal;Der Kater hat Tränen vergossen.;"Sehr wenig; eine ganz geringe Anzahl.";einen Fingerhut voll;0.0;КОТ НАПЛАКАЛ;kot naplakal;Something the cat cried out.;"Very little; practically nothing; nothing to speak of.";;0.0
