id,head_ru,transliteration,literal,meaning,equivalents
152,ЗАКОЛДОВАННЫЙ КРУГ,zakoldovanny krug,A bewitched circle.,A hopeless situation; a state of affairs from which it’s difficult to find a way out.,A vicious circle
153,ЗАКРАДЫВАТЬСЯ В ДУШУ,zakradyvattsa v dushu,To creep into someone’s soul.,To creep or steal into one’s mind (said of thoughts or feelings),
154,ЗАКРЫВАТЬ на что-либо ГЛАЗА,zakryvat’ glaza,To close one’s eyes to something.,"To ignore, deliberately not to pay attention to or recognize something (especially, improper conduct).",To close/shut one’s eyes to something; to wink at something.
155,ЗАМЕСТИ СЛЕДЫ,zam’esti sl’edy,To sweep over one’s traces.,To destroy something that can be used as evidence; to conceal one’s movements or activities.,To cover up one’s tracks/traces.
156,ЗАМКНУТЬСЯ В СЕБЕ,zamknuttsa v s’eb’e,To get locked up in one’s own self.,To become less sociable and more reserved; to withdraw from the society of one’s fellows; to retire into oneself.,To shut oneself up; to withdraw/retire into one’s shell.
157,ЗАМОРИТЬ ЧЕРВЯЧКА,zamorit’ cherv’achka,To underfeed the little worm.,To have a little to eat.,To have a snack; to have a bite; to take the edge off one’s hunger.
158,ЗАРУБИТЬ НА НОСУ,zarubit’ na nosu,To make a notch on one’s nose.,"To remember something firmly, forever.",Bear it in mind; put that into your pipe and smoke it.
159,ЗАТКНУТЬ ЗА ПОЯС,zatknut’ za poyas,To stick someone behind one’s belt.,"To surpass, to outstrip, to outdo someone.",To outshine someone; to knock someone into a cocked hat.
160,ЗВЁЗД С НЕБА НЕ ХВАТАЕТ,zv’ozd s n’eba n’e khvatayet,He/she doesn’t snatch stars from the sky.,One isn’t a remarkable person; one is a person of average or mediocre abilities.,He won’t set the Thames/world on fire
161,ЗЕЛЁНАЯ УЛИЦА,z’el’onaya ulitsa,A green street.,An open thoroughfare; also used to indicate that there is nothing standing in one’s way.,The green light
162,ЗНАТЬ что-либо ВДОЛЬ И ПОПЕРЁК,znat’ vdol’ i pop’er’ok,To know something lengthwise and crosswise.,To know something thoroughly in all its details.,To know something inside out.
163,ЗНАТЬ ВСЕ ХОДЫ И ВЫХОДЫ,znat’ vs’e khody i vykhody,To know all the entrances and exits,To know all the details or intricacies; to be thoroughly familiar with what is to be done under the circumstances.,To know one’s way around; to know all the ins and outs; to know the ropes.
164,ЗНАТЬ КАК СВОИ ПЯТЬ ПАЛЬЦЕВ,znat’ kak svoyi p’at’ pal’tsev,To know something as well as one’s own five fingers.,To know something thoroughly; to be quite familiar with something.,To know something like the palm of one’s hand.
165,ЗНАТЬ МЕРУ,znat’ m’eru,To know the measure.,To know one’s limits; to be moderate; to know when to stop.,
166,ЗОЛОТАЯ СЕРЕДИНА,zolotaya s’er’edina,The golden middle.,"The safe, prudent way between extremes; the principle of moderation.",The golden mean.
167,ЗОЛОТОЕ ДНО,zolotoye dno,A golden bottom.,An inexhaustible source of wealth.,A gold mine.
168,ЗОЛОТЫЕ РУКИ,zolotyye ruki,Golden hands.,A master of one’s craft.,A clever pair of hands; skillful/deft fingers.
169,ЗОНДИРОВАТЬ ПОЧВУ,zondirovat’ pochvu,To probe the ground.,"To try cautiously to discover someone’s inclinations, to test the views of others, to sound out one’s chances of success beforehand.",To find out how the things stand; to explore the ground; to put forth/throw out a feeler.
170,ИГРАТЬ ПЕРВУЮ СКРИПКУ,igrat’ pervuyu skripku,To play the first violin.,To play a leading role in some undertaking.,To play first fiddle
171,ИГРАТЬ С ОГНЁМ,igrat’ s ogn’om,To play with fire.,To trifle with something likely to prove dangerous without considering the consequences.,To play with edge-tools; to play with fire
172,ИДТИ В ГОРУ,itti v goru,To go uphill.,To gain influence; to attain promotion; to make a prosperous career.,To go up/rise in the world; to climb up the ladder.
173,ИДТИ В ОГОНЬ И В ВОДУ,itti v ogon’ i v vodu,To go into fire and water.,"To submit to any ordeal, to encounter or face the greatest dangers or hardest chances, to be ready to do anything for someone or something.",To go through fire and water
174,ИДТИ КУДА ГЛАЗА ГЛЯДЯТ,itti kuda glaza gl’ad’at,To walk wherever one’s eyes are looking.,To wander aimlessly; to go wherever one’s feet will carry one.,
175,ИДТИ НА ПОВОДУ,itti na povodu,To walk on someone’s rein.,To be dependent on someone.,To be led by; to be under someone’s thumb.
176,ИДТИ ПО чьим-либо СТОПАМ,itti po stopam,To walk in someone’s footsteps.,To follow someone’s example; to be someone’s disciple.,To follow in someone’s footsteps
177,ИДТИ ПРОТИВ ТЕЧЕНИЯ,itti protiv t’echeniya,To go against the stream.,"To act against the general trend of thought, opinion, custom, etc.",To go against the tide/current/stream.
178,ИЗЛИТЬ ДУШУ,izlit’ dushu,To pour out one’s soul.,To relieve one’s mind by talking about one’s troubles.,To unbosom oneself; to unburden one’s heart; to bare one’s heart/soul.
179,ИЗМЕРИТЬ кого-либо ВЗГЛЯДОМ,izm’erit’ vzgl’adom,To measure someone with one’s glance.,To examine someone closely from head to toe.,To look someone up and down; to measure someone with one’s eye.
180,ИЗ ОДНОГО ТЕСТА,iz odnovo t’esta,Made of the same dough.,"They are just about the same in disposition, tastes, etc.",Two of a kind; the same breed; cut from the same cloth; birds of one feather.
181,ИЗ РЯДА ВОН ВЫХОДЯЩИЙ,iz r’ada von vykhod’ashchy,Going out of the line.,"Outstanding, exceptional, out of the ordinary.",Out of the common run
182,ИМЕТЬ ВЕС,im’et’ v’es,To have weight.,To be highly influential or important.,To carry a lot of weight
183,ИМЕТЬ ГОЛОВУ НА ПЛЕЧАХ,im’et’ golovu na plechakh,To have a head on one’s shoulders.,To be intelligent and reasonable; to be able to think for oneself.,To have a good head on one’s shoulders.
184,ИСКАТЬ ВЧЕРАШНИЙ ДЕНЬ,iskat’ vcherashny d’en’,To search for yesterday.,To waste time on a hopeless quest.,To go on a wild-goose chase
185,ИСКАТЬ / НЕ НАЙТИ ДНЁМ С ОГНЁМ,iskat’/n’e nayti dn’om s ogn’om,To search for someone or something by day with a light,To seek in vain; to look hard for someone or something with little chance of finding; it’s nowhere to be found.,You will not find it in a month of Sundays; you can’t get it for love or money.
186,ИСКАТЬ ИГОЛКУ В СТОГЕ СЕНА,iskat’ igolku v stog’e s’ena,To look for a needle in a bundle of hay.,To look for something or someone virtually impossible to find.,To look for a needle in a haystack
187,ИСКРЫ ИЗ ГЛАЗ ПОСЫПАЛИСЬ,iskry iz glaz posypalis’,Sparks began to pour out of one’s eyes.,"A sensation of light flashing before one’s eyes, caused by a blow in the face or on the head.",To see stars
188,ИСПИТЬ ЧАШУ ДО ДНА,ispit’ chashu do dna,To drink the bowl to the bottom.,"To experience ordeals, hardships, sorrows, misfortunes in full measure.","To drink /drain the cup (of bitterness, sorrow, etc.) to the dregs."
189,ИСПОРТИТЬ ВСЮ МУЗЫКУ,isportit’ vs’u muzyku,To spoil all the music,To upset a plan; to disrupt the procedure; to cause disturbance.,To upset someone’s apple-cart; to play the very devil with something.
190,И УХОМ HE ВЕДЁТ,i ukhom n’e v’ed’ot,Doesn’t wiggle an ear.,One doesn’t pay the least attention to something; one doesn’t react at all; one deliberately shows indifference.,Without batting an eyelid
191,ИЩИ ВЕТРА В ПОЛЕ,ishchi v’etra v pol’e,Look for the wind in the field.,It’s gone without leaving a trace; it’s nowhere to be found and it can never be returned.,To look for a needle in a haystack; to go on a wild-goose chase.
192,КАК АРШИН ПРОГЛОТИЛ,kak arshin proglotil,As if one had swallowed an arshin (a ruler one arshin in length equivalent to 28 inches),"Unnaturally erect, quite stiff; rigid, upright in bearing.",As stiff as a poker.
193,КАК БЕЗ РУК,kak b’ez ruk,As if without the hands.,To feel quite helpless without something or someone.,
194,КАК В АПТЕКЕ,kak v apt’ek’e,Just like at the chemist’s.,"Exactly, precisely; just so, just right.",To a T.
195,КАК В ВОДУ ГЛЯДЕЛ,kak v vodu gl’ad’el,Like having looked into the water.,As if something had been known beforehand; someone was able to foresee future events.,He must have second sight
196,КАК В ВОДУ ОПУЩЕННЫЙ,kak v vodu opushchenny,As if lowered into the water.,"Dejected, downcast, depressed, crest-fallen.",To be down in the chops/mouth
197,КАК ВЕТРОМ СДУЛО,kak v’etrom sdulo,As if the wind blew it away.,Someone or something has rapidly and mysteriously disappeared without a trace.,To vanish into thin air.
198,КАК ГОРА С ПЛЕЧ СВАЛИЛАСЬ,kak gora s pl’ech svalilas’,As if a mountain had fallen off one’s shoulders.,"Someone is relieved of anxiety, doubt, cares.",A load off one’s mind
199,КАК ГРОМ СРЕДИ ЯСНОГО НЕБА,kak grom sr’edi yasnovo n’eba,Like a thunder-clap out of a clear sky.,"Suddenly, unexpectedly (said of a sudden and surprising event generally of an unpleasant nature).",Like a bolt from the blue/out of a clear sky.
200,КАК ДВАЖДЫ ДВА ЧЕТЫРЕ,kak dvazhdy dva cheryr’e,Like two times two is four.,Easy to see or comprehend; as plain or clear as can be; obvious to everyone.,As plain as a pikestaff; as plain as the nose on your face.
201,КАК ДВЕ КАПЛИ ВОДЫ,kak dv’e kapli vody,Like two drops of water.,To bear a very close resemblance; to be exactly alike.,As like as two peas in a pod; not a pin to choose between them.
202,КАК ЗА КАМЕННОЙ СТЕНОЙ,kak za kam’ennoy st’enoy,As though behind a stone wall.,To be well protected; to be very secure; to be perfectly safe.,As safe as houses.
203,КАК ИЗ-ПОД ЗЕМЛИ ВЫРОС,kak is-pod z’emli vyros,As if grown up from under the ground.,"Someone appeared all of a sudden, unexpectedly, from nowhere.",Out of the blue.
204,КАК ИЗ РОГА ИЗОБИЛИЯ,kak iz roga izobiliya,As if out of the horn of plenty.,"In great plenty, in abundance",
205,КАК КОРОВА ЯЗЫКОМ СЛИЗАЛА,kak korova yazykom slizala,As if a cow has licked it off with its tongue.,Someone or something has disappeared without a trace.,To vanish/disappear into thin air.
206,КАК НА ИГОЛКАХ,kak na igolkakh,As if on needles.,"Racked with anxiety, in a state of acute discomfort, uneasiness or suspense.",To be on tenter-hooks; to be on pins and needles; to be on thorns/wires.
207,КАК НЕБО ОТ ЗЕМЛИ,kak n’ebo ot z’emli,As far off as heaven from earth.,"To differ essentially, sharply, strongly.",There is a world of difference between them
208,КАК ОБ СТЕНКУ ГОРОХ,kak ob st’enku gorokh,Like throwing peas against the wall.,To say something to which not the slightest attention is paid (often uttered in irritation).,You might as well talk to a brick wall/to the wind
209,КАК ПО МАСЛУ,kak po maslu,Like sliding on oil.,"Things are going well, smoothly, swimmingly, without any obstruction or complication.",Like clockwork; without a hitch
210,КАК ПО НОТАМ РАЗЫГРАТЬ,kak po notam razygrat’,As if played from music.,"To accomplish something without any difficulty, efficiently, according to a carefully thought-out plan; to perform something with clockwork precision.",
211,КАК РУКОЙ СНЯЛО,kak rukoy sn’alo,As if taken off by the hand.,"Suddenly gone, completely disappeared as if by magic (usually said of pain or fatigue)",
212,КАК РЫБА В ВОДЕ,kak ryba v vod’e,Like a fish in water.,To feel free and easy; to be in suitable or satisfying surroundings; to find something natural and easy to do.,To feel in one’s element; to feel quite at home; to take to something like a duck to water; like a fish in water
213,КАК С ГУСЯ ВОДА,kak s gus’a voda,Like water off a goose.,Without producing any effect; without paying the slightest attention,Like water off a duck’s back.
214,КАК СЕЛЬДЕЙ В БОЧКЕ,kak sel’dey v bochk’e,Like herrings in a barrel.,The place is so crowded that one can’t push one’s way through.,Packed like sardines
215,КАК СКВОЗЬ ЗЕМЛЮ ПРОВАЛИЛСЯ,kak skvoz’ z’eml’u provalils’a,As if someone or something has fallen through the ground.,"Someone or something has suddenly and unexpectedly disappeared in a mysterious manner, without a trace.",To vanish into thin air; as though the earth had opened and swallowed it up.
216,КАК СНЕГ НА ГОЛОВУ,kak sn’eg na golovu,Like snow onto the head.,To appear or arrive suddenly and unexpectedly.,To come like a bolt from/out of the blue; to drop from the clouds.
217,КАК ЧЁРТ ОТ ЛАДАНА,kak chort ot ladana,Like the devil running away from the incense.,To get rid of or shun someone or something.,To avoid someone or something like the plague
218,КАМЕНЬ НА СЕРДЦЕ,kam’en’ na sertse,A stone on one’s heart.,Someone feels depressed or unhappy.,A heavy heart; to have something weigh upon one’s heart.
219,КАМЕНЬ С ДУШИ СВАЛИЛСЯ,kamen’s dushy svalils’a,A stone has fallen off one’s heart.,"Someone feels relieved of a burden of an unpleasant, sad or oppressive feeling.",A load off one’s mind
220,КАМНЯ НА КАМНЕ HE ОСТАВИТЬ,kamn’a na kamn’e n’e ostavit’,Not to leave one stone upon another stone.,To criticize something severely by pointing out the weak points or faults; to utterly demolish an argument.,To pull/take something to pieces; to make mincemeat of something.
221,КАПЛЯ В МОРЕ,kapl’a v mor’e,A drop in the sea.,A part so small as to be insignificant,A drop in the ocean/bucket
222,КАТАТЬСЯ КАК СЫР В МАСЛЕ,katattsa kak syr v masl’e,To be rolling like cheese in butter.,To be comfortably off.,To live in clover; to live on the fat of the land; to live like a king.
223,КАТИТЬСЯ ПОД ГОРУ,katittsa pod goru,To slide downhill,"To deteriorate, to decline, to become worse.",To go downhill
224,КАШИ НЕ СВАРИШЬ с кем-либо,kashy n’e svarish,You won’t cook kasha with someone.,You can’t get on with someone; you won’t get anywhere with someone; it’s difficult to work with someone.,
225,КИДАЕТ В ЖАР,kidayet v zhar,Thrown into a heat.,He/she becomes extremely agitated or anxious; he/she feels hot all over.,
226,КЛЕВАТЬ НОСОМ,kl’evat’ nosom,To peck with one’s nose.,To nod; to be drowsy.,
227,КЛИН КЛИНОМ ВЫШИБАТЬ,klin klinom vyshybat’,To drive out one wedge with another.,To destroy the results of an action by the means this action has been previously caused.,To fight fire with fire; like cures like; nail drives out nail.
228,КОГДА РАК СВИСТНЕТ,kogda rak svisn’et,When the crayfish whistles.,No one knows when; never.,When pigs fly; when two Fridays come together
229,КОТ НАПЛАКАЛ,kot naplakal,Something the cat cried out.,Very little; practically nothing; nothing to speak of.,
230,КОШКИ СКРЕБУТ НА ДУШЕ,koshki skr’ebut na dushe,Cats are scratching on one’s soul.,"To be melancholy, sad, depressed; to be anxious about something.",To be sick at heart; to have the blues.
231,КРАЕУГОЛЬНЫЙ КАМЕНЬ,krayeugol’ny kam’en’,A corner-stone.,"Something indispensable, essential, of primary importance; a fundamental idea.",A corner-stone.
232,КРАСИВЫЙ ЖЕСТ,krasivy zhest,A fine gesture.,A deliberate action intended for effect.,A fine gesture; beau geste
233,КРАСНЫЙ КАК РАК,krasny kak rak,Red as a lobster.,Red-faced; flushed with anger or embarrassment.,Red as a lobster.
234,КРЕПКИЙ ОРЕШЕК,kr’epky or’eshek,A hard nut.,A problem that is very hard to solve; a person hard to deal with.,A hard nut to crack
235,КРИЧАТЬ о чём-либо НА ВСЕХ ПЕРЕКРЁСТКАХ,krichat’ na vs’ekh p’er’ekr’ostkakh,To shout about something at all cross-roads.,To announce something in the most public manner possible; to make something generally known to a wide public; to talk constantly about something.,To cry/shout from the house-tops.
236,КРОВЬ С МОЛОКОМ,krov’ s molokom,Blood with milk.,"Someone with fresh complexion, in the best of health; one who looks quite well.",The very picture of health.
237,"КТО В ЛЕС, КТО ПО ДРОВА",kto v l’es kto po drova,"Some to the forest, some to gather firewood.",A phrase expressing lack of coordination or harmony (often said of singing or playing musical instruments),
238,КУДА ВЕТЕР ДУЕТ,kuda v’et’er duyet,Whither the wind is blowing.,"One has no firm convictions; one adapts himself to the prevailing opinions, views, tastes; one avoids taking action or making a decision until he sees which move will be most favourable to himself.",To see/find out which way the wind blows; to see which way the cat jumps; as changeable as a weathercock.
239,КУПИТЬ КОТА В МЕШКЕ,kupit’ kota v m’eshk’e,To buy a cat in a sack,To buy a thing without knowing its real value or quality.,To buy a pig in a poke
240,КУРАМ НА СМЕХ,kuram na sm’ekh,For the hens to laugh at.,"It’s funny, ridiculous, absurd, silly.",It’s enough to make a cat laugh
241,КУСАТЬ СЕБЕ ЛОКТИ,kusat’ s’eb’e lokti,To bite one’s own elbows.,To be deeply vexed; to be upset over an irreparable loss of someone or something.,To cry over spilt milk; to kick oneself over a lost opportunity.
242,ЛЁГКАЯ РУКА,l’okhkaya ruka,A light hand.,Someone is known to bring luck to any kind of undertaking.,
243,ЛЁГОК НА ПОДЪЁМ,l’ogok na pod’yom,Easy on the ascent.,Always ready and willing to go somewhere or do something.,Quick off the mark; quick on one’s toes.
244,ЛЁД ТРОНУЛСЯ,l’od tronuls’a,The ice has begun to break.,A beginning has been made; things are moving.,
245,ЛЕЗТЬ В БУТЫЛКУ,l’ezt’ v butylku,To climb into the bottle.,"To be carried away by excitement, to lose self-control, to become suddenly or violently angry (usually without reason, over a mere trifle).",To fly off the handle; to blow one’s top.
246,ЛЕЗТЬ В ДУШУ,l’ezt’ v dushu,To climb into someone’s soul.,"To try to find out someone’s innermost feelings, thoughts, intentions; to win someone’s favour or confidence.",To worm oneself into someone’s favour/confidence
247,ЛЕЗТЬ ИЗ КОЖИ ВОН,l’ezt’ iz kozhy von,To climb out of one’s skin.,"To make a great effort; to do one’s utmost, to try one’s hardest.",To lean/bend over backwards; to go out of one’s way; to go all out.
248,ЛИТЬ ВОДУ НА чью-либо МЕЛЬНИЦУ,lit’ vodu na m’el’nitsu,To pour water on someone’s mill-wheel.,Indirectly to help someone (usually an opponent) by one’s actions.,To play into someone’s hands; to bring grist to someone’s mill.
249,ЛИТЬ КАК ИЗ ВЕДРА,lit’ kak iz v’edra,To pour as from a pail.,To rain heavily.,It rains cats and dogs
250,ЛИТЬ КРОКОДИЛОВЫ СЛЁЗЫ,lit’ krokodilovy sl’ozy,To shed crocodile tears.,"To complain hypocritically; to show insincere, false sorrow.",To shed crocodile tears
251,ЛОВИТЬ НА ЛЕТУ,lovit na l’etu,To catch something in flight.,"To be quick to comprehend or to learn something; to grasp something easily, at once.",To be quick on the uptake
252,ЛОВИТЬ кого-либо НА СЛОВЕ,lovit’ na slove,To catch one at one’s word.,To make someone do or promise to do what he said he would do.,To take someone at his word.
253,ЛОВИТЬ РЫБУ В МУТНОЙ ВОДЕ,lovit’ rybu v mutnoy vod’e,To catch fish in turbid water.,To try to benefit from other people’s troubles; to try to gain advantage for oneself from a disturbed state of affairs; to try to make a calamity by means of personal gain.,To fish in troubled waters
254,ЛОМАТЬ ГОЛОВУ над чем-либо,lomat’ golovu,To break one’s head over something.,"To think hard, especially on a difficult problem.",To rack/cudgel one’s brains over something; to break one’s head over something.
255,ЛОМАТЬ КОПЬЯ,lomat’ kop’ya,To break spears.,To fight for something; to argue heatedly.,To break a lance with someone over something; to cross swords.
256,ЛОМИТЬСЯ В ОТКРЫТУЮ ДВЕРЬ,lomittsa v otkrytuyu dv’er’,To break through an open door.,To assert or try to prove something already well-known and undisputed.,To force at/knock at an open door.
257,ЛОПНУТЬ КАК МЫЛЬНЫЙ ПУЗЫРЬ,lopnut’ kak myl’ny puzyr’,To burst like a soap-bubble.,"Said of something that proves to be unstable, ephemeral or easily destroyed.",
258,МАСТЕР НА ВСЕ РУКИ,mast’er na vs’e ruki,A master at all hands.,To be good at anything one undertakes; to show talent in anything one turns his hand to; a versatile worker.,A jack-of-all-trades
259,МАХНУТЬ РУКОЙ,makhnut’ rukoy,To wave one’s hand at something or someone.,To stop doing something or dealing with someone; not to care what happens; to give something up as a lost or hopeless cause.,
260,МЕДВЕДЬ НА УХО НАСТУПИЛ,m’edv’ed’ na ukho nastupil,A bear stepped on someone’s ear.,Someone has no ear for music; someone is quite tone-deaf.,
261,МЕДВЕЖЬЯ УСЛУГА,m’edv’ezh’ya usluga,A bear’s service.,A well-meant action having the opposite effect; clumsy assistance causing only more problems; a dubious benefit conferred on someone; a disservice.,
262,МЕНЯТЬ КУКУШКУ НА ЯСТРЕБА,m’en’at’ kukushku na yastr’eba,To exchange a cuckoo for a hawk.,To select the worst from among the worse; to be out of one’s reckoning; to miscalculate.,To back the wrong horse.
263,МЕРИТЬ НА СВОЙ АРШИН,m’erit’ na svoy arshyn,To measure by one’s own arshin.,To judge others by oneself; to apply one’s own standard to others.,To measure another’s corn by one’s own bushel
264,МЕТАТЬ ГРОМЫ И МОЛНИИ,m’etat’ gromy i molnii,To fling thunder and lightning.,"To rage, to fulminate, to speak with threats and anger.",To rant and rave; to hurl thunderbolts; to blow one’s top.
265,МИР ТЕСЕН,mir t’es’en,The world is cramped.,You may unexpectedly run across a person you know anywhere.,It’s a small world.
266,МНОГО ВОДЫ УТЕКЛО,mnogo vody ut’eklo,Much water has flowed away.,That was long ago; much has happened since; much has changed since.,A lot of water has flowed under the bridge since
267,МОРЕ ПО КОЛЕНО,mor’e po kol’eno,The sea is knee-deep.,One is unconcerned; one couldn’t care less; one is absolutely reckless.,Devil-may-care
268,МОТАТЬ СЕБЕ НА УС,motat s’eb’e na us,To wind something on one’s moustache,To observe something silently; to make a mental note of something.,Bite on that
269,МОЯ ХАТА С КРАЮ,moya khata s krayu,My hut is on the periphery.,This has nothing to do with me; it’s no business/concern of mine.,
270,МУРАШКИ БЕГАЮТ ПО СПИНЕ,murashki b’egayut po spin’e,Little ants run along one’s back.,"One feels shivery due to fear, horror, or nervous excitement.",To give one the creeps; to make one’s flesh creep; to feel chills run up and down one’s spine.
271,МУТИТЬ ВОДУ,mutit’ vodu,To muddy the water.,To deliberately muddle matters; to stir up trouble; to confuse things.,
272,МУХИ НЕ ОБИДИТ,mukhi n’e obidit,He/she wouldn’t hurt a fly.,"He/she is meek, timid, gentle, kind.","He wouldn’t hurt, harm a fly; he won’t say ’boo’ to a goose."
273,МЫШИНАЯ ВОЗНЯ,myshynaya vozn’a,Mice’s fussing.,Pointless fussing over trifles.,
274,НАБИТЬ РУКУ,nabit’ ruku,To strengthen one’s hand.,"To practice so as to acquire skill, to develop a good technique in something; to become a practiced hand at something; to give oneself a steady hand.",To get the knack of something
275,НАБРАТЬ В РОТ ВОДЫ,nabrat’ v rot vody,To fill one’s mouth with water.,To remain silent; not to utter a word.,To keep mum
276,НА ВЕС ЗОЛОТА,na v’es zolota,Worth its weight in gold.,Someone or something is extremely valuable or useful.,To be worth one’s/its weight in gold
277,НАВОСТРИТЬ ЛЫЖИ,navostrit’ lýzhy,To sharpen the skis.,"To flee, to run away.",To take to one’s heels; to show a clean pair of heels.
278,НАВОСТРИТЬ УШИ,navostrit’ ushy,To sharpen one’s ears.,To give sudden and intense attention to what is being said or to what is going to be said.,To prick up one’s ears.
279,НАВЯЗНУТЬ В ЗУБАХ,nav’aznut’ v zubakh,To get stuck in one’s teeth.,To have had more than enough; to be sick and tired of something.,To set one’s teeth on edge.
280,НАДЕЯТЬСЯ КАК НА КАМЕННУЮ ГОРУ,nad’eyattsa kak na kam’ennuyu goru,To rely on someone as on a rock mountain.,To rely fully on someone or something.,
281,НАДУТЬ ГУБЫ,nadut’ guby,To blow up one’s lips.,"To be angry, to take offence wearing a sulky expression; to express dissatisfaction or displeasure; to be in a disagreeable mood.",To pout
282,НАЖИМАТЬ НА ВСЕ КНОПКИ,nazhimat’ na vs’e knopki,To press on all the buttons.,To use every direct or indirect means in order to attain a goal; to exert personal and private influence on a matter affecting oneself or others.,To pull wires/strings.
283,НАЖИМАТЬ НА ВСЕ ПЕДАЛИ,nazhimat’ na vs’e p’edali,To press all the pedals.,"To do everything in one’s power to carry out a task, a promise, etc.",To go all out
284,НАЗЫВАТЬ ВЕЩИ СВОИМИ ИМЕНАМИ,nazyvat’ v’eshchy svoimi im’enami,To call things by their names.,"To speak frankly, plainly or bluntly.",To call things by their right/proper names; to call a spade a spade.
285,НАЙТИ СЕБЯ,nayti s’eb’a,To find oneself.,"To find and realize one’s vocation, calling; to determine one’s aptitude, bent or inclinations.",
286,НАКЛЕИВАТЬ ЯРЛЫКИ,nakl’eivat’ yarlyki,To stick labels on someone or something.,To give a standard or stereotyped estimation of someone or something (usually of a negative nature).,To pin a label on someone.
287,НА ЛБУ НАПИСАНО,na lbu napisano,It’s written on the forehead.,Something about a person is quite obvious by the look on his face.,It’s written all over his face.
288,НАЛОМАТЬ ДРОВ,nalomat’ drov,To break up some firewood,To commit follies; to make a mess of things.,
289,НАМЫЛИТЬ ШЕЮ,namylit’ sheyu,To soap someone’s neck.,To reprimand or criticize someone sharply; to give someone a good rating.,To haul someone over the coals; to give someone a dressing-down.
290,НАНЕСТИ УДАР ИЗ-ЗА УГЛА,nan’esti udar izza ugla,To strike a blow from round the corner.,"To act in an underhand, treacherous, sly manner.",A stab in the back
291,НАПУСТИТЬ ТУМАНУ,napustit’ tumanu,To let the fog in.,To obscure the issue; to befog something; to confuse things; to try to mislead someone,
292,НАСОЛИТЬ кому-либо,nasolit’,To salt someone.,To spite; to cause someone annoyance; to do someone a bad turn.,
293,НАСТУПАТЬ кому-либо НА ПЯТКИ,nastupat’ na p’atki,To catch up with someone; to follow,someone very closely; to be close behind.,To be at someone’s heels
294,НАХОДИТЬСЯ НА ТОЧКЕ ЗАМЕРЗАНИЯ,nakhodittsa na tochk’e zam’erzaniya,To be at freezing-point.,To remain in the same state or condition without developing or progressing; to be at a standstill.,
295,НАШЛА КОСА НА КАМЕНЬ,nashla kosa na kam’en’,The scythe has struck a stone.,"A clash of conflicting personalities, interests, opinions, etc.",One has met his match; diamond cut diamond
296,HE ВИДАТЬ КАК СВОИХ УШЕЙ,n’e vidat’ kak svoikh ushey,One won’t see it as his own ears.,"One will never see, get or possess something or someone.",You won’t see hide nor hair of something or someone; you have to kiss it good-bye.
297,НЕ ВИДЕТЬ ДАЛЬШЕ СВОЕГО НОСА,n’e vid’at’ dal’she svoyevo nosa,Not to see farther than one’s nose.,To lack imagination or insight; to be conscious only of circumstances round one; the situation one is now in or events that are presently happening.,Not to see an inch beyond one’s nose; to see no further than one’s nose
298,НЕ ВИДЕТЬ ЛЕСА ЗА ДЕРЕВЬЯМИ,n’e videt’ l’esa za d’er’ev’yami,Not to see the wood beyond the trees.,To be unable to get a clear view of the whole because of too many details.,To be unable to see the forest/wood for the trees
299,НЕ ВИДЕТЬ СВЕТА БЕЛОГО,n’e videt’ sv’eta b’elovo,Not to see the white world.,"One is so burdened with work or cares that he has no peace, no rest and can’t lead a normal life.",
300,НЕ ВЫХОДИТ ИЗ ГОЛОВЫ,n’e vykhodit iz golovy,It doesn’t come out of the one’s head,Something remains permanently in one’s mind; one is unable to get something out of one’s mind. ,It sticks in one’s mind.
301,НЕ ЗА ГОРАМИ,n’e za gorami,Not beyond the hills.,Something is about to happen very soon.,Near at hand.
302,НЕ ЛЕЗТЬ ЗА СЛОВОМ В КАРМАН,n’e l’ezt’ za slovom v karman,Not to climb for a word into one’s pocket.,"To be quick to respond, to answer promptly and well; not to be at a loss for words.",To have a ready/ quick tongue.
303,НЕМ КАК РЫБА,n’em kak ryba,Dumb as a fish.,"Someone says very little or nothing; reserved, uncommunicative.",Close/dumb as an oyster; silent as a grave; tight-lipped
304,"НЕ МЫТЬЁМ, ТАК КАТАНЬЕМ",n’e myt’yom tak katan’yem,"If not by washing, then by mangling.","To try to get something; to annoy or vex someone by any means, right or wrong.",By hook or by crook.
305,НЕ НАХОДИТЬ СЕБЕ МЕСТА,n’e nakhodit’ s’eb’e m’esta,"To be extremely anxious, discontented; to fret; to worry;",to be extremely anxious; discontented; to fret; to worry; not to know what to do with oneself.,
306,НЕ НЮХАТЬ ПОРОХУ,n’e n’ukhat’ porokhu,Not to smell gun-powder.,Not to have been in combat.,
307,НЕ ОТ МИРА СЕГО,n’e ot mira s’evo,Not of this world.,A person whose mind is filled with visionary thoughts; one who is too imaginative instead of attending to things in a practical way; a day-dreamer.,To be in another world; to have one’s head in the clouds.
308,НЕ УДАРИТЬ В ГРЯЗЬ ЛИЦОМ,n’e udarit’ v gr’az’ litsom,Not to strike the mud with one’s face.,To maintain one’s dignity; to acquit oneself well; not to disgrace oneself; to try to appear at one’s best.,To put one’s best foot forward; to make a good showing.
