,id,head_ru,transliteration,literal,meaning,equivalents,transparency
500,501,СМОТРЕТЬ КАК БАРАН НА НОВЫЕ ВОРОТА,ßmotretj kak baran na nowyje worota,Schauen wie der Hammel auf das neue Tor.,"Unverständig blicken, absolut nichts verstehen.",wie die Kuh vorm neuen Tor stehen,0.5
503,504,СМОТРЕТЬ СКВОЗЬ РОЗОВЫЕ ОЧКИ,ßmotretj ßkwosj rosowyje otschki,Durch eine rosafarbene Brille blicken.,Mängel und Unzulänglichkeiten übersehen; j-n oder etw. idealisieren.,altes durch eine rosige Brille sehen,0.5
504,505,СНИМАТЬ ПЕНКИ,ßnimatj penki,Die Sahne herunternehmen.,Das Beste für sich behalten.,den Rahm abschöpfen,0.5
510,511,СОРИТЬ ДЕНЬГАМИ,ßoritj denjgami,Mil Geld Schmutz machen., Unvernünftig Geld in großer Menge ausgeben; Geld vergeuden.,mit Geld um sich werfen,0.5
519,520,СТАВИТЬ НА ОДНУ ДОСКУ,ßtawitj na odnu doßku,Auf ein und dasselbe Brett stellen.,J-n mit j-m in einer bestimmten Hinsicht gleich stellen.,j-n auf dieselbe Stufe mit j-m stellen,0.5
520,521,СТАВИТЬ что-либо С НОГ НА ГОЛОВУ,ßtawitj (tschto-libo) ß nog na golowu,Etw. von den Füßen auf den Kopf stellen.,"Etw. in falschem Licht, verzerrt darstellen.",eine Sache auf den Kopf stellen,0.5
522,523,СТАНОВИТЬСЯ НА ДЫБЫ,ßtanowitza na dyby,Sich auf die Hinterbeine stellen.,"Zum Ausdruck einer gegensätzlichen Meinung, des hartnäckigen Widerspruchs.",sich auf die Hinterbeine stellen,0.5
525,526,СТОИТ КАК ВКОПАННЫЙ,ßtoit kak wkopannyj,Er steht wie eingegraben.,Er steht völlig unbeweglich. ,er steht da wie angewurzelt,0.5
529,530,СТОЯТЬ ПОПЕРЁК ДОРОГИ,ßtojatj poperjok dorogi,Quer auf dem Wege stehen.,J-n hindern beim Erreichen eines Zieles.,im Wege stehen,0.5
536,537,СЫТ ПО ГОРЛО,ßyt po gorlo,Satt bis zur Kehle.,"J-d hat genug von etw., j-d ist etw. überdrüssig.",satt bis obenhin,0.5
538,539,ТАСКАТЬ КАШТАНЫ ИЗ ОГНЯ,taßkatj kaschtany is ognja,Die Kastanien aus dem Feuer ziehen.,"Die schwere Arbeit tun, während andere das Ergebnis für sich in Anspruch nehmen.",die Kastanien aus dem Feuer holen,0.5
545,546,ТРЕЩАТЬ ПО ШВАМ,trestschatj po schwam,An den Nähten krachen.,Vor dem drohenden Zusammenbruch stehen; zusammenstürzen,in allen Fugen krachen,0.5
546,547,ТЯЖЕЛАЯ АРТИЛЛЕРИЯ,tjasholaja artillerija,Schwere Artillerie.,"Ein im äußersten Fall angewandtes, zuverlässiges Mittel zum Erreichen von etw.",ein schweres Geschütz,0.5
551,552,УДАРИТЬ КАК ОБУХОМ ПО ГОЛОВЕ,udaritj kak obuchom po golowe,Wie mit dem Beilrücken vor den Kopf schlagen.,Unerwartet verblüffen; aufs äußerste verwirren.,wie vor den Kopf geschlagen,0.5
558,559,УМЫВАТЬ РУКИ,umywatj ruki,Die Hände waschen.,Der Beteiligung an etw. ausweichen; die Verantwortung für etw. von sich wälzen. ,seine Hände in Unschuld waschen,0.5
570,571,ХОДИТЬ ПО КРАЮ ПРОПАСТИ,choditj po kraju propaßti,Am Rande des Abgrunds gehen.,In unmittelbarer Todesgefahr schweben.,am Rande des Abgrunds stehen,0.5
576,577,ЦЕНЫ НЕТ кому-либо/чему-либо,zeny net (komu-libo/tschemu-libo),J-d/etw. hat keinen Preis.,"J-d/etw. ist sehr wertvoll durch seine Eigenschaften, seine Vorzüge.",j-d/etw. ist unbezahlbar,0.5
590,591,ЯБЛОКУ НЕГДЕ УПАСТЬ,jabloku negde upaßtj,Der Apfel kann nirgendwo hinfallen.,Von einer dichten Menschenansammlung; die Menschen stehen dichtgedrängt.,kein Apfel konnte zur Erde fallen,0.5
591,592,ЯЗЫК СЛОМАЕШЬ,jasyk ßlomajesch,Du wirst dir die Zunge abbrechen.,Etw. ist sehr schwer auszusprechen. ,an dem Wort kann man sich die Zunge abbrechen,0.5
