,id,head_ru,transliteration,literal,meaning,equivalents,transparency
401,402,ПОПАСТЬСЯ НА чью-либо УДОЧКУ,popaßtza na (tschju-libo) udotschku,An j-s Angel geraten.,"Sich überlisten, täuschen lassen; hereinfallen.",j-m auf den Leim gehen,0.0
403,404,ПОРОХУ HE ХВАТАЕТ,porochu ne chwatajet,Das Pulver reicht nicht.,"Es fehlt an Kraft, Willen und Ausdauer zur Erreichung eines Zieles.",j-m geht die Puste aus,0.0
411,412,ПОСТАВИТЬ кого-либо В ТУПИК,poßtawitj (kowo-libo) w tupik,J-n in eine Sackgasse stellen.,J-n in Verlegenheit bringen; bei j-m Verwirrung auslösen.,j-n in die Enge treiben,0.0
413,414,ПОСТАВИТЬ кого-либо НА СВОЁ МЕСТО,poßtawitj (kowo-libo) na ßwojo meßto,J-n an seinen Platz stellen.,"J-m deutlich machen, wer er wirklich ist; j-n zurechtweisen.",j-n in die Schranken weisen,0.0
419,420,ПРИПИРАТЬ кого-либо К СТЕНКЕ,pripiratj (kowo-libo) k ßtenke,J-n an die Wand drücken.,"J-n in eine ausweglose Lage bringen, j-n zwingen etw. zu machen oder zu gestehen.",j-n in die Enge treiben,0.0
427,428,ПРОЙТИ СКВОЗЬ ОГОНЬ И ВОДУ,projti ßkwosj ogonj i wodu,Durch Feuer und Wasser gehen.,"Viel im Leben ertragen, schwierige Situationen durchleben.",mit allen Wassern gewaschen sein; mit allen Hunden gehetzt sein,0.0
430,431,ПРЯТАТЬ КОНЦЫ В ВОДУ,prjatatj konzy w wodu,Die Enden im Wasser verstecken.,"Alle Spuren eines Vergehens, einer Straftat verwischen.",die Spuren verwischen,0.0
438,439,РАЗБИВАТЬСЯ В ЛЕПЁШКУ,rasbiwatza w lepjoschku,(Beim Aufprall) dünn wie ein Fladen werden.,"Sich für etw. fast umbringen, allzu diensteifrig sein.",sich die Beine ausreißen,0.0
444,445,РВАТЬ И МЕТАТЬ,rwatj i metatj,Reißen und werfen.,"Erzürnt, erbost, erregt sein über j-n oder etw.",Gift und Galle speien,0.0
450,451,РУБИТЬ СПЛЕЧА,rubitj ßpletscha,Mit aller Kraft hauen.,"Geradezu / aufrichtig reden, handeln, dabei oft unbedacht und ohne Umsicht.",mit der Tür ins Haus fallen,0.0
452,453,РУКА НЕ ДРОГНЕТ,ruka ne drognet,Die Hand zittert nicht.,Mit Entschiedenheit etw. tun.,vor etw. nicht zurückschrecken,0.0
462,463,САМИ С УСАМИ,ßami ß ußami,Wir haben selber Schnurrbärte.,"Wir sind nicht schlechter, nicht dümmer als die anderen.",wir sind nicht von gestern,0.0
471,472,СГУЩАТЬ КРАСКИ,sgustschatj kraßki,Die Farben verdicken.,"Stark übertreiben, etw. schlimmer darstellen, als es ist.",dick auftragen,0.0
472,473,СДАВАТЬ В АРХИВ,sdawatj w archiw,"Dem Archiv übergeben, ins Archiv räumen.",Als etw. Veraltetes der Vergessenheit preisgeben.,etw. ad acta legen,0.0
475,476,СЕРДЦЕ /ДУША HE ЛЕЖИТ к кому-либо/чему-либо,ßerze / duscha ne leshit (k komu-libo/tschemu-libo) ,Das Herz / die Seele liegt nicht zu j-m / etw.,"J-d hat kein Interesse für j-n / etw., kein Zutrauen zu j-m.",kein Gefallen an j-m / etw. finden,0.0
478,479,СЕСТЬ НА МЕЛЬ,ßeßtj na melj,Sich auf eine Sandbank setzen.,In eine (gewöhnlich materiell) schwierige Lage geraten.,in die Klemme geraten,0.0
489,490,СЛЕД ПРОСТЫЛ,ßled proßtyl,Die Spur ist kalt geworden.,J-d ist spurlos verschwunden.,j-d ist über alle Berge,0.0
492,493,"СЛЫШНО, КАК МУХА ПРОЛЕТИТ",ßlyschno kak mucha proletit,Man hört die Fliege vorbeifliegen.,Es ist sehr still.,man könnte eine Nadel fallen hören,0.0
494,495,СМАТЫВАТЬ УДОЧКИ,ßmatywatj udotschki,Seine Angeln einziehen (aufwickeln).,"Eilig fortgehen, verschwinden.",sich aus dem Staub machen,0.0
496,497,СМОТРЕТЬ В КОРЕНЬ,ßmotretj w korenj,Auf die Wurzel sehen.,"Den Blick auf das Wesentliche, die Hauptsache von etw. richten.",einer Sache auf den Grund gehen,0.0
497,498,СМОТРЕТЬ В ОБА,ßmotretj w oba,Mit beiden (Augen) sehen.,"Etw. aufmerksam betrachten, achtgeben; wachsam sein. ",auf der Hut sein,0.0
498,499,СМОТРЕТЬ кому-либо В РОТ,ßmotretj (komu-libo) w rot,J-m in den Mund sehen.,J-m aufmerksam oder unterwürfig zuhören.,an j-s Lippen hängen,0.0
501,502,СМОТРЕТЬ СВЕРХУ ВНИЗ,ßmotretj ßwerchu wnis,Von oben nach unten sehen.,J-m gegenüber seine Missachtung zeigen.,auf j-n herabblicken; j-n von oben herab behandeln,0.0
505,506,СНИМАТЬ с кого-либо СТРУЖКУ,ßnimatj (ß kowo-libo) ßtrushku,Von j-m einen Hobelspan abnehmen.,J-n ausschimpfen; j-n rügen.,j-m den Kopf waschen,0.0
507,508,СОБАКУ СЪЕЛ на чём-либо,ßobaku ßjel (na tschom-libo),Darauf hat er einen Hund gegessen.,"Er hat reiche Erfahrung, genaue Kenntnis von etw. erworben.",darauf versteht er sich,0.0
511,512,CO СКРИПОМ,ßo ßkripom,Mit Knirschen.,"Etw. langsam, mit großer Mühe tun.",mit Mühe und Not,0.0
513,514,СПАТЬ БЕЗ ЗАДНИХ НОГ,ßpatj bes sadnich nog,Ohne Hinterbeine schlafen.,Tief und fest schlafen; schlafen wie erschlagen.,schlafen wie ein Murmeltier,0.0
515,516,СПУТАТЬ ВСЕ КАРТЫ,ßputatj wße karty,Alle Karten durcheinanderbringen.,"J-s Pläne, Absichten vereiteln.",einen Strich durch die Rechnung machen,0.0
528,529,СТОЯТЬ ПОПЕРЁК ГОРЛА,ßtojatj poperjok gorla,Quer im Rachen stehen.,Für j-n unerträglich sein; j-m überdrüssig sein.,j-m zum Halse heraushängen,0.0
530,531,СТРЕЛЯНЫЙ ВОРОБЕЙ,ßtreljanyj worobej,Ein (an)geschossener Spatz.,"Ein erfahrener Mensch; j-d, dem man nichts vormachen kann.",ein alter Hase,0.0
535,536,СЧИТАТЬ ВОРОН,stschitatj woron,Krähen zählen.,Herumstehen und gaffen.,Maulaffen feilhalten,0.0
543,544,"ТИШЕ ВОДЫ, НИЖЕ TPABЫ","tische wody, nishe trawy","Stiller als Wasser, niedriger als Gras.","J-d ist bescheiden, unauffällig, schüchtern.",j-d ist mucksmäuschenstill,0.0
544,545,ТОЛОЧЬ ВОДУ В СТУПЕ,tolotsch wodu w ßtupe,Wasser im Mörser zerstoßen.,Mit nutzloser Tätigkeit die Zeit verbringen; in ein nutzloses Gespräch gezogen werden.,leeres Stroh dreschen,0.0
548,549,ТЯНУТЬ ВРЕМЯ,tjanutj wremja,Die Zeit hinziehen.,Etw. verzögern; eine günstige Möglichkeit abwarten.,in die Länge ziehen,0.0
550,551,УБИТЬ ДВУХ ЗАЙЦЕВ,ubitj dwuch sajzew,Zwei Hasen töten.,Gleichzeitig zwei Dinge tun; zwei Ziele zugleich anstreben.,zwei Fliegen mit einer Klappe schlagen,0.0
552,553,УДАРИТЬ ПО РУКАМ,udaritj po rukam,In die Hände schlagen.,"Eine Abmachung, Vereinbarung bekräftigen.",etw. durch Handschlag besiegeln,0.0
556,557,УЙТИ С ГОЛОВОЙ во что-либо,ujti s golowoj (wo tschto-libo),Mit dem Kopf in etw. versinken.,Sich einer Sache voll und ganz widmen; sich in eine Sache stürzen.,in einer Sache völlig aufgehen,0.0
559,560,УНОСИТЬ НОГИ,unoßitj nogi,Die Beine davontragen.,"Eilig, rasch fortgehen; fliehen.",die Beine unter den Arm nehmen,0.0
568,569,ХОДИТЬ ВОКРУГ ДА ОКОЛО,choditj wokrug da okolo,Ringsum gehen und herumgehen.,Am Wesen einer Sache vorbeireden.,wie die Katze um den heißen Brei gehen,0.0
569,570,ХОДИТЬ НА ГОЛОВЕ,choditj na golowe,Auf dem Kopf gehen.,"Schabernack, Unfug treiben, ausgelassen sein.",besonders von Kindern,0.0
572,573,ХОТЬ ТРАВА НЕ РАСТИ,chotj trawa ne raßti,Mag da auch kein Gras wachsen.,Zum Ausdruck der völligen Gleichgültigkeit einer Sache gegenüber.,mag geschehen was will,0.0
593,594,ЯСНО КАК ДЕНЬ,jaßno kak denj,Hell wie der Tag.,Vollkommen klar.,sonnenklar; das ist mit Händen zu greifen,0.0
