,id,head_ru,transliteration,literal,meaning,equivalents,transparency
258,259,МАХНУТЬ РУКОЙ,makhnut’ rukoy,To wave one’s hand at something or someone.,To stop doing something or dealing with someone; not to care what happens; to give something up as a lost or hopeless cause.,,0.0
259,260,МЕДВЕДЬ НА УХО НАСТУПИЛ,m’edv’ed’ na ukho nastupil,A bear stepped on someone’s ear.,Someone has no ear for music; someone is quite tone-deaf.,,0.0
260,261,МЕДВЕЖЬЯ УСЛУГА,m’edv’ezh’ya usluga,A bear’s service.,A well-meant action having the opposite effect; clumsy assistance causing only more problems; a dubious benefit conferred on someone; a disservice.,,0.0
261,262,МЕНЯТЬ КУКУШКУ НА ЯСТРЕБА,m’en’at’ kukushku na yastr’eba,To exchange a cuckoo for a hawk.,To select the worst from among the worse; to be out of one’s reckoning; to miscalculate.,To back the wrong horse.,0.0
262,263,МЕРИТЬ НА СВОЙ АРШИН,m’erit’ na svoy arshyn,To measure by one’s own arshin.,To judge others by oneself; to apply one’s own standard to others.,To measure another’s corn by one’s own bushel,0.0
264,265,МИР ТЕСЕН,mir t’es’en,The world is cramped.,You may unexpectedly run across a person you know anywhere.,It’s a small world.,0.0
265,266,МНОГО ВОДЫ УТЕКЛО,mnogo vody ut’eklo,Much water has flowed away.,That was long ago; much has happened since; much has changed since.,A lot of water has flowed under the bridge since,0.0
266,267,МОРЕ ПО КОЛЕНО,mor’e po kol’eno,The sea is knee-deep.,One is unconcerned; one couldn’t care less; one is absolutely reckless.,Devil-may-care,0.0
267,268,МОТАТЬ СЕБЕ НА УС,motat s’eb’e na us,To wind something on one’s moustache,To observe something silently; to make a mental note of something.,Bite on that,0.0
268,269,МОЯ ХАТА С КРАЮ,moya khata s krayu,My hut is on the periphery.,This has nothing to do with me; it’s no business/concern of mine.,,0.0
270,271,МУТИТЬ ВОДУ,mutit’ vodu,To muddy the water.,To deliberately muddle matters; to stir up trouble; to confuse things.,,0.0
272,273,МЫШИНАЯ ВОЗНЯ,myshynaya vozn’a,Mice’s fussing.,Pointless fussing over trifles.,,0.0
273,274,НАБИТЬ РУКУ,nabit’ ruku,To strengthen one’s hand.,"To practice so as to acquire skill, to develop a good technique in something; to become a practiced hand at something; to give oneself a steady hand.",To get the knack of something,0.0
274,275,НАБРАТЬ В РОТ ВОДЫ,nabrat’ v rot vody,To fill one’s mouth with water.,To remain silent; not to utter a word.,To keep mum,0.0
276,277,НАВОСТРИТЬ ЛЫЖИ,navostrit’ lýzhy,To sharpen the skis.,"To flee, to run away.",To take to one’s heels; to show a clean pair of heels.,0.0
278,279,НАВЯЗНУТЬ В ЗУБАХ,nav’aznut’ v zubakh,To get stuck in one’s teeth.,To have had more than enough; to be sick and tired of something.,To set one’s teeth on edge.,0.0
279,280,НАДЕЯТЬСЯ КАК НА КАМЕННУЮ ГОРУ,nad’eyattsa kak na kam’ennuyu goru,To rely on someone as on a rock mountain.,To rely fully on someone or something.,,0.0
280,281,НАДУТЬ ГУБЫ,nadut’ guby,To blow up one’s lips.,"To be angry, to take offence wearing a sulky expression; to express dissatisfaction or displeasure; to be in a disagreeable mood.",To pout,0.0
281,282,НАЖИМАТЬ НА ВСЕ КНОПКИ,nazhimat’ na vs’e knopki,To press on all the buttons.,To use every direct or indirect means in order to attain a goal; to exert personal and private influence on a matter affecting oneself or others.,To pull wires/strings.,0.0
282,283,НАЖИМАТЬ НА ВСЕ ПЕДАЛИ,nazhimat’ na vs’e p’edali,To press all the pedals.,"To do everything in one’s power to carry out a task, a promise, etc.",To go all out,0.0
284,285,НАЙТИ СЕБЯ,nayti s’eb’a,To find oneself.,"To find and realize one’s vocation, calling; to determine one’s aptitude, bent or inclinations.",,0.0
287,288,НАЛОМАТЬ ДРОВ,nalomat’ drov,To break up some firewood,To commit follies; to make a mess of things.,,0.0
288,289,НАМЫЛИТЬ ШЕЮ,namylit’ sheyu,To soap someone’s neck.,To reprimand or criticize someone sharply; to give someone a good rating.,To haul someone over the coals; to give someone a dressing-down.,0.0
290,291,НАПУСТИТЬ ТУМАНУ,napustit’ tumanu,To let the fog in.,To obscure the issue; to befog something; to confuse things; to try to mislead someone,,0.0
291,292,НАСОЛИТЬ кому-либо,nasolit’,To salt someone.,To spite; to cause someone annoyance; to do someone a bad turn.,,0.0
293,294,НАХОДИТЬСЯ НА ТОЧКЕ ЗАМЕРЗАНИЯ,nakhodittsa na tochk’e zam’erzaniya,To be at freezing-point.,To remain in the same state or condition without developing or progressing; to be at a standstill.,,0.0
294,295,НАШЛА КОСА НА КАМЕНЬ,nashla kosa na kam’en’,The scythe has struck a stone.,"A clash of conflicting personalities, interests, opinions, etc.",One has met his match; diamond cut diamond,0.0
295,296,HE ВИДАТЬ КАК СВОИХ УШЕЙ,n’e vidat’ kak svoikh ushey,One won’t see it as his own ears.,"One will never see, get or possess something or someone.",You won’t see hide nor hair of something or someone; you have to kiss it good-bye.,0.0
298,299,НЕ ВИДЕТЬ СВЕТА БЕЛОГО,n’e videt’ sv’eta b’elovo,Not to see the white world.,"One is so burdened with work or cares that he has no peace, no rest and can’t lead a normal life.",,0.0
300,301,НЕ ЗА ГОРАМИ,n’e za gorami,Not beyond the hills.,Something is about to happen very soon.,Near at hand.,0.0
301,302,НЕ ЛЕЗТЬ ЗА СЛОВОМ В КАРМАН,n’e l’ezt’ za slovom v karman,Not to climb for a word into one’s pocket.,"To be quick to respond, to answer promptly and well; not to be at a loss for words.",To have a ready/ quick tongue.,0.0
302,303,НЕМ КАК РЫБА,n’em kak ryba,Dumb as a fish.,"Someone says very little or nothing; reserved, uncommunicative.",Close/dumb as an oyster; silent as a grave; tight-lipped,0.0
303,304,"НЕ МЫТЬЁМ, ТАК КАТАНЬЕМ",n’e myt’yom tak katan’yem,"If not by washing, then by mangling.","To try to get something; to annoy or vex someone by any means, right or wrong.",By hook or by crook.,0.0
304,305,НЕ НАХОДИТЬ СЕБЕ МЕСТА,n’e nakhodit’ s’eb’e m’esta,"To be extremely anxious, discontented; to fret; to worry;",to be extremely anxious; discontented; to fret; to worry; not to know what to do with oneself.,,0.0
305,306,НЕ НЮХАТЬ ПОРОХУ,n’e n’ukhat’ porokhu,Not to smell gun-powder.,Not to have been in combat.,,0.0
307,308,НЕ УДАРИТЬ В ГРЯЗЬ ЛИЦОМ,n’e udarit’ v gr’az’ litsom,Not to strike the mud with one’s face.,To maintain one’s dignity; to acquit oneself well; not to disgrace oneself; to try to appear at one’s best.,To put one’s best foot forward; to make a good showing.,0.0
309,310,НЕ ФУНТ ИЗЮМУ,n’e funt iz’umu,That’s not a pound of raisins,"It’s not a trifle; it’s not to be regarded as negligible or unimportant; it’s no light,matter; it’s no joke.",It’s not to be sneezed/sniffled at,0.0
310,311,НЕЧИСТ НА РУКУ,n’echist na ruku,Having an unclean hand.,"Inclined to stealing, swindling or cheating; dishonest, underhanded.",,0.0
311,312,HE ЧУЯТЬ НОГ ПОД СОБОЙ,n’e chuyat’ nog pod soboy,Not to feel one’s feet under oneself.,"To be very happy, to be highly delighted",To be beside oneself with joy; to tread/walk on air,0.0
312,313,НИ ДВА НИ ПОЛТОРА,ni dva ni poltora,Neither two nor one and a half.,Defies classification; neither good rior bad neither one thing nor the other.,,0.0
314,315,НИ ЗА КАКИЕ КОВРИЖКИ,ni za kakiye kovrizhki,Not for any gingerbread.,Not for anything; not on any account.,Not for the world; not on your life,0.0
316,317,НИ К СЕЛУ НИ К ГОРОДУ,ni k s’elu ni k gorodu,Neither to the village nor to the town.,"Beside the point, out of place; for no apparent reason; quite irrelevantly",Neither here nor there,0.0
317,318,НИ НА ЧТО HE ПОХОЖЕ,ni na shto n’e pokhozhe,It doesn’t look like anything.,Very bad; unthinkable; unheard of; like nothing on earth; that won’t do; that’s no good at all.,,0.0
318,319,НИ ПУХА НИ ПЕРА!,ni pukha ni p’era,Neither down nor feather.,Good luck!,,0.0
320,321,НОЖ ОСТРЫЙ,nozh ostry,A sharp knife.,"Something extremely unpleasant or painful; something is the source of annoyance, grief, etc.",Gall and wormwood; this is sheer agony/hell.,0.0
321,322,НОМЕР HE ПРОЙДЁТ,nom’er n’e proyd’ot,The number won’t pass through.,That won’t do; you can’t get away with it.,Nothing doing; that trick won’t work; that won’t wash.,0.0
323,324,НОСИТЬ ВОДУ РЕШЕТОМ,nosit’ vodu r’eshetom,To carry water in a sieve.,To do something useless; to waste time.,To plough the sand,0.0
324,325,НУЖЕН КАК ПРОШЛОГОДНИЙ СНЕГ,nuzhen kak proschlogodny sn’eg,As needed as last year’s snow,Here is no need to.,,0.0
326,327,ОБЕЩАТЬ ЗОЛОТЫЕ ГОРЫ,ob’eshchat’ zolotyye gory,To promise mountains of gold,To promise someone a fortune; to make extravagant promises.,To promise the moon,0.0
327,328,ОБИВАТЬ ПОРОГИ,obivat’ porogi,To knock against the thresholds.,To go frequently somewhere trying to obtain something; to apply or petition with dogged persistence.,To haunt someone’s threshold; to camp on someone’s doorstep,0.0
328,329,ОБРАТИТЬСЯ HE ПО АДРЕСУ,obratittsa n’e po adr’esu,To apply to the wrong address.,To come to the wrong person or place to get what one requires.,To come to the wrong shop,0.0
329,330,ОДИН КАК ПЕРСТ,odin kak p’erst,Alone as a finger.,All alone in the world; all by oneself; without kinfolk.,,0.0
330,331,"ОДНА НОГА ЗДЕСЬ, ДРУГАЯ ТАМ",odna noga zd’es’ drugaya tarn,"One foot’s here, the other’s there.","To go and fetch, to run and fetch; to do something very quickly, with lightning speed.",,0.0
331,332,ОДНОГО ПОЛЯ ЯГОДА,odnovo pol’a yagoda,A berry from the same field.,"They look alike; they are similar in disposition, tastes, etc.; they are well matched; they deserve each other; one is no better than the other.",Not a pin to choose between them; cut from the same cloth; birds of one feather,0.0
333,334,ОКАЗАТЬСЯ МЕЖДУ НЕБОМ И ЗЕМЛЁЙ,okazattsa m’ezhdu n’ebom i z’eml’oy,To find oneself between the sky and the earth.,,,0.0
335,336,ОКУНУТЬСЯ С ГОЛОВОЙ,konuttsa z golovoy,To plunge headlong,"To become utterly absorbed/engrossed in something; to be deeply immersed, irrevocably involved.",To be up to one’s ears in something; to throw oneself in something,0.0
336,337,ОПУСТИТЬ РУКИ,opustft’ rtiki,To lower one’s hands,"To lose interest; to become disappointed, depressed; to be disheartened",To lose heart,0.0
337,338,ОСТАВИТЬ С НОСОМ,ostavit’s nosom,To leave someone with his nose.,To leave someone without something he had hoped for; to make a fool of someone; to trick someone.,To leave someone holding the bag,0.0
338,339,ОСТАТЬСЯ НА БОБАХ,ostattsa na bobakh,To be left on the beans,To be left without something one has hoped for; to be out in one’s reckoning; to get nothing for one’s pains; to be left with nothing.,To be left holding the bag,0.0
339,340,ОСТАТЬСЯ У РАЗБИТОГО КОРЫТА,ostattsa u razbitovo koryta,To be left at the broken wash-tub.,"To be left with nothing, having lost everything one had; to be no better off than when one started.",To be back at the bottom of the ladder,0.0
340,341,ОТКЛАДЫВАТЬ НА ЧЁРНЫЙ ДЕНЬ,otkladyvat’ na chorny d’en’,To put aside for a black day,"To save or reserve something (usually one’s income) for time of trouble, for bad times.",To save/put by for a rainy day,0.0
341,342,ОТКРЫВАТЬ АМЕРИКУ,otkryvat’ am’eriku,To discover America.,To say something that everyone has long been aware of; to say or explain something that is already well known to everyone; to retail stale news.,The Dutch have taken Holland; Queen Ann is dead,0.0
343,344,ОТКРЫВАТЬ кому-либо ДУШУ/СЕРДЦЕ,otkryvat’ dushu/s’ertse,To open one’s soul / heart to someone.,To tell someone frankly of one’s innermost thoughts or feelings.,To lay bare one’s heart,0.0
344,345,ОТКРЫВАТЬ СВОИ КАРТЫ,otkryvat’ svoyi karty,To show one’s cards,To stop making secrets of one’s plans or intentions; to reveal candidly all one’s aims,To lay / put one’s cards on the table; to show one’s hand,0.0
345,346,ОТКУДА СЫР-БОР ЗАГОРЕЛСЯ,otkuda syr-bor zagor’els’a,Cf. To lay /put one’s,cards on the table; to show one’s hand.,That's how it all started.,0.0
346,347,ПАЛЕЦ О ПАЛЕЦ НЕ УДАРИТЬ,pal’ets o pal’ets n’e udarit’,Not to strike one finger against another.,To be idle; not to stir oneself; not to make the slightest effort to attain one’s goal.,Not to raise/lift a finger. Not to hurt a fly.,0.0
347,348,ПАЛКА О ДВУХ КОНЦАХ,palka o dvukh kontsakh,A staff with two ends.,Something that can have pleasant and unpleasant consequences; something that can bring good as well as harm.,A double-edged/two-edged weapon; it cuts both ways.,0.0
348,349,ПАЛЬЦА В РОТ НЕ КЛАДИ,pal’tsa v rot n’e kladi,Don’t put your finger in his/ her mouth.,Someone is not to be trifled with; with this man one must be scrupulously exact; one must be on one’s guard with him because he is likely to take advantage of another’s false step.,,0.0
349,350,ПАЛЬЦЕМ никого HE ТРОНУТЬ,pal’tsem n’e tronut’,Not to touch anyone with one’s finger,Not to do anyone any harm; not to hit someone.,Not to hurt a fly.,0.0
351,352,ПЕРВАЯ ЛАСТОЧКА,p’ervaya lastochka,The first swallow.,The first portent of something.,,0.0
352,353,ПЕРЕГИБАТЬ ПАЛКУ,p’er’egibat’ palku,To bend the stick.,To go beyond the appointed or accepted limit; to go to the extreme; to go too far; to overdo something.,To overshoot the mark.,0.0
353,354,ПЕРЕЛИВАТЬ ИЗ ПУСТОГО В ПОРОЖНЕЕ,p’erelivat’ is pustovo v porozhn’eye,To pour something from one empty vessel into another.,To waste time on something useless; to waste time in useless debate; to engage in idle chatter.,To mill the wind; to beat the air.,0.0
354,355,ПЕРЕЛОМИТЬ СЕБЯ,p’er’elomit’ seb’a,To break oneself in two,"To master oneself; to conquer one’s temper; to change one’s behaviour, character, habits; to restrain or suppress one’s feelings; to overcome oneself or something in oneself.",,0.0
355,356,ПЕРЕМЫВАТЬ КОСТОЧКИ,p’er’emyvat’ kostochki,To wash someone’s bones.,"To gossip, to say spiteful things about someone; to find detailed faults in a person.",To pick/pull someone to pieces,0.0
356,357,ПЕРЕПОЛНИТЬ ЧАШУ ТЕРПЕНИЯ,p’er’epolnit’ chashu t’erp’eniya,To overfill the cup of patience,To bring someone to the end of his endurance or patience; to exasperate someone; to be at the end of one’s tether,The last straw; to break the camel’s back,0.0
357,358,ПЕСЕНКА СПЕТА,p’es’enka sp’eta,One’s song has been sung.,One is near his end; one is ruined; it’s all done with him; he’s done for.,Someone’s goose is cooked,0.0
359,360,ПЛАВАТЬ КАК ТОПОР,plavat’ kak topor,To swim like an axe.,To be a poor swimmer or not to be able to swim at all.,To swim like a stone/like a tailor’s goose,0.0
360,361,ПЛАКАТЬСЯ В ЖИЛЕТКУ,plakattsa v zhil’etku,To weep into someone’s waistcoast,To bewail one’s fate seeking sympathy or consolation.,To cry on someone’s shoulder,0.0
362,363,ПЛЕВАТЬ В ПОТОЛОК,pl’evat’ v potolok,To spit at the ceiling,To do nothing at all; to be idle.,To fritter away the time; to sit twiddling,0.0
363,364,ПЛЕСТИСЬ КАК ЧЕРЕПАХА,pl’estis’ kak cher’epakha,To crawl like a tortoise.,To go very slowly; to drag oneself along; to trudge.,To go at a crawl; to move at a snail’s pace,0.0
366,367,ПОГНАТЬСЯ ЗА ДВУМЯ ЗАЙЦАМИ,pognattsa za dvum’a zaitsami,To pursue two different aims simultaneously ,To run after two hares.,,0.0
367,368,ПО ГОРЯЧИМ СЛЕДАМ,po gor’achim sl’edam,While the tracks are hot.,"Without losing time; immediately, directly after some event.",To let no grass grow under one’s feet,0.0
369,370,ПОДВЕСТИ кого-либо ПОД МОНАСТЫРЬ,podv’esti pod monastyr’,To bring someone up to a monastery. ,To put someone into a difficult position; to put someone in a tight spot; to cause someone much trouble.,,0.0
370,371,ПОДВОДНЫЕ КАМНИ,podvodnyye kamni,Under-water rocks.,A difficulty which is hard to foresee; a hidden obstacle; a snag.,,0.0
371,372,ПОД ГОРЯЧУЮ РУКУ,pod gor’achuyu ruku,Under a hot hand.,"One does something while still angry, excited, disturbed.",In the heat of the moment.,0.0
374,375,ПОДЛОЖИТЬ СВИНЬЮ,podlozhit’ svin’yu,To lay a pig near someone,To do a vile thing to someone on the sly.,To play a dirty/mean trick on someone,0.0
376,377,ПОДНИМАТЬ НА ЩИТ,podnimat’ na shchit,To raise something or someone up on the shield.,"To extol, to eulogize, to boost",To praise to the skies,0.0
378,379,ПОДНЯТЬ ВСЕХ НА НОГИ,podn’at’ vs’ekh na nogi,To raise everybody to his feet,To disturb everyone; to raise the alarm; to make everyone be more active; to rouse everyone to action.,,0.0
379,380,ПОДПИСЫВАТЬСЯ под чем-либо ОБЕИМИ РУКАМИ,podpisyvattsa ob’eimi rukami,To sign something with both hands.,To willingly agree to something; to fully endorse something.,,0.0
381,382,ПОД СУРДИНКУ,pod surdinku,With a mute.,"Softly, gently; on the quiet; on the sly; without being noticed",,0.0
383,384,ПОЙМАТЬ НА УДОЧКУ,poymat’ na udochku,To catch someone on one’s fishing line., By deceiving or outwitting someone to cause him to do something; to trick or to fool someone.,To catch out,0.0
384,385,"ПОКАЗАТЬ, ГДЕ РАКИ ЗИМУЮТ",pokazat’ gd’e raki zimuyut,To show someone where the crayfish winter,To teach someone a lesson; to punish someone; to scold someone severely.,To make it hot for someone; to show someone a thing or two,0.0
387,388,ПОКАЗЫВАТЬ ТОВАР ЛИЦОМ,pokazyvat’ tovar litsom,To show one’s goods from the right side.,To show a thing its best side; to make the best of something to show something to its full advantage; to display oneself in a favourable light.,,0.0
388,389,ПОЛНАЯ ЧАША,polnaya chasha,"One lives in plenty, in affluence, in luxury",,,0.0
390,391,ПОЛОЖИТЬ ЗУБЫ НА ПОЛКУ,polozhit’ zuby na polku,To put one’s teeth on a shelf,To go hungry; to starve.,To tighten one’s belt,0.0
391,392,ПОЛОЖИТЬ кого-либо НА ОБЕ ЛОПАТКИ,polozhit’ na ob’e lopatki,To put someone on both his shoulder-blades.,"To defeat an opponent in an argument, competition, contest, etc.; to beat someone.",,0.0
392,393,ПОЛОЖИТЬ что-либо ПОД СУКНО,polozhit’ pod sukno,To put something under the cloth.,To delay or postpone consideration of an official paper; to pigeon-hole a request or an application; to shelve a problem or a plan,,0.0
393,394,ПОПАДАТЬСЯ кому-либо НА ЯЗЫК,popadattsa na yazyk,To land on someone’s tongue,To become the subject of criticism.or gossip.,,0.0
396,397,ПОПАСТЬ В ТОЧКУ,popast’ v tochku,To hit the right point,To come to the right conclusion; to come at the crux of the matter; to say or do what is exactly right as if by guessing correctly what must be said or done in the circumstances.,To hit the nail on the head; to hit the bull’s eye/the mark,0.0
397,398,ПОПАСТЬ КАК КУР ВО ЩИ,popast’ kak kur vo shchi,To get oneself into the shchi*,To get into trouble; to be caught.,To get/fall into the soup; to get into hot water,0.0
398,399,ПОПАСТЬ кому-либо НА ЗУБОК,popast’ na zubok,To find oneself on someone’s little tooth,To be subjected to biting or sarcastic criticism; to become the butt of ridicule.,To be torn to pieces,0.0
399,400,"ПОПАСТЬ HE В БРОВЬ, А В ГЛАЗ",popast’ n’e v brov’ a v glaz,To hit not the eyebrow but the eye.,To guess right; to say something that is exactly right; to give the true explanation.,To hit the nail on the head; that hit the mark; you’ve said it!,0.0
400,401,ПОПАСТЬ ПАЛЬЦЕМ В НЕБО,popast’ pal’tsem v n’cbo,To hit the sky with one’s finger.,To say or do something that is far from - being correct or quite out of place; to answer irrelevantly.,To get/take the wrong sow by the ear; to be wide of /way off the mark,0.0
401,402,ПОПАСТЬСЯ НА чью-либо УДОЧКУ,popasttsa na lidochku,To be caught on someone’s fishing line.,"To permit oneself to be fooled; to fall for a hoax or trap; to accept a proposal, an offer, etc. made to tempt one to do something.",To swallow the bait: to rise to the fly; to be taken in; to fall into someone’s trap/snare,0.0
402,403,ПОРОХУ НЕ ВЫДУМАЕТ,porokhu n’e vydumayet,He will not invent gunpowder.,"He will never do anything remarkable or outstanding (usually said of a dull-witted, not very bright person).",He will never set the Thames/world on fire,0.0
403,404,ПОРОХУ HE ХВАТАЕТ,porokhu n’e khvatayet,Not enough gunpowder.,"One lacks energy, strength or resolution to do something.",It’s beyond him; he has not it in him; he is not up to it,0.0
404,405,ПОСАДИТЬ кого-либо В ГАЛОШУ,posadit’ v galoshu,To put someone into a galosh,Put someone into an embarrassing or uncomfortable situation; to be made fun of; to get someone into a fix; to be in an awkward predicament.,,0.0
407,408,ПОСЛЕДНЯЯ СПИЦА В КОЛЕСНИЦЕ,posl’edn’aya spitsa v kol’esnitse ,The last spoke in the chariot. ,A person of very little importance; one who doesn’t count; a minor figure.,A mere cog in the machine.,0.0
408,409,ПОСЛЕ ДОЖДИЧКА В ЧЕТВЕРГ,posl’e dozhdichka v chetv’erg,After a little rain on a Thursday.,No one knows when.,When pigs fly; when two Fridays come together,0.0
409,410,ПОСТАВИТЬ ВОПРОС РЕБРОМ,postavit’ vopros r’ebrom,To put a question edgewise.,"To announce or state something categorically; to say something in a manner that leaves no room for doubt; to ask something directly, openly; to put a question point-blank.",Not to mince words.,0.0
410,411,ПОСТАВИТЬ ВСЁ НА КАРТУ,postavit’ vs’o na kartu,To put everything on the card.,"To risk all that one has on a single venture, method, etc.; to stake all one’s hopes on one source or means.",To put all one’s eggs in one basket,0.0
411,412,ПОСТАВИТЬ кого-либо В ТУПИК,postavit’ v tupik,To put someone in a blind alley.,"To bewilder, to puzzle, to nonplus someone; to throw someone into confusion.",,0.0
412,413,ПОСТАВИТЬ КРЕСТ на ком-либо/чём-либо,postavit’ kr’est,To put a cross on someone/something,To lose faith in someone or something; to stop thinking of someone or something; to give someone up for lost; to give something up as a hopeless case.,To kiss something good-bye,0.0
417,418,ПРИЛОЖИТЬ РУКУ к чему-либо,prilozhit’ ruku,To put one’s hand on something,"To be actively involved in something (usually reprehensible, blameworthy).",To have/take a hand in something; to have a finger in the pie.,0.0
418,419,ПРИНИМАТЬ ЗА ЧИСТУЮ МОНЕТУ,prinimat’ za chistuyu mon’etu,To take for a pure coin.,To regard something as true; to take something seriously.,To take in good faith; to take at face value,0.0
420,421,ПРИТЯНУТЬ что-либо ЗА УШИ,prit’anut’ za ushi,To pull something up by the ears.,To make use of something without adequate grounds; to advance farfetched arguments.,To drag something in.,0.0
422,423,ПРОВАЛИТЬСЯ С ТРЕСКОМ,provalittsa s tr’eskom,To collapse with a bang,To flop; to be a complete and ignominious failure.,To come a cropper/crasher; to fall flat on one’s face.,0.0
425,426,ПРОЖУЖЖАТЬ ВСЕ УШИ,prozhuzhzhat’ vs’e lishi,To buzz someone’s ears through.,To bore someone by telling him some- thing over and over again; to keep dinging something into someone’s ears.,To talk someone’s ears off about something; to drone on at someone; to go rabbiting on,0.0
426,427,ПРОЙТИ КРАСНОЙ НИТЬЮ,proyti krasnoy nit’yu,To run through something with a red thread,"To be the basic idea, the key-note, the essence of something; to run through something (e. g. a book or a speech)",,0.0
428,429,ПРОЙТИСЬ ПО чьему-либо АДРЕСУ,proytis’ po adr’esu,To walk up and down someone’s address,To make a snide remark about someone; to make fun of someone; to make an implied criticism.,To have a fling at someone; go give someone a bad write-up,0.0
429,430,ПРОПУСКАТЬ МИМО УШЕЙ,propuskat’ mimo ushey ,To let something pass by one’s ears,To pay no attention or not to react to something that has been or is being said.,,0.0
430,431,ПРЯТАТЬ КОНЦЫ В ВОДУ,pr’atat’ kontsy v vodu,To hide the ends in water.,"To destroy evidence; to bury, remove every trace of something; to cover up one’s tracks.",And no one is the wiser.,0.0
431,432,ПТИЧЬЕГО МОЛОКА HE ХВАТАЕТ,ptich’yevo moloka n’e khvatayet,Someone lacks bird’s milk.,A great abundance of everything.,,0.0
432,433,ПУД СОЛИ СЪЕСТЬ с кем-либо,pud soli s’yest’,To eat a pood* of salt with someone,To live with or know someone for a long time; to spend a long time together with someone.,,0.0
433,434,ПУСКАТЬ КОЗЛА В ОГОРОД,puskat’ kozla v ogorod,To let the goat into the kitchen garden.,"To give someone access to a place where he may be particularly harmful or dangerous, or to something from which he wishes to profit.",,0.0
435,436,ПУШКОЙ HE ПРОШИБЁШЬ,pushkoy n’e proshib’osh,You won’t breach it with a cannon-ball.,"You can’t persuade him, you can’t influence him, you can’t budge him.",,0.0
436,437,РАБОТАТЬ ЗАСУЧИВ РУКАВА,rabotat’ zasuchiv rukava,To work with one’s sleeves rolled up. ,"To work assiduously, strenuously.",,0.0
437,438,РАБОТАТЬ HE ПОКЛАДАЯ РУК,rabotat’ n’e pokladaya ruk,To work without giving rest to one’s hands.,"To work unceasingly, tirelessly, indefatigably.",To be as busy as a bee,0.0
438,439,РАЗБИВАТЬСЯ В ЛЕПЁШКУ,razbivattsa v l’ep’oshku,"To do one’s utmost, to strain every nerve,",to do next to impossible to attain one’s end.,To lay oneself out; to go all out,0.0
439,440,РАЗВЕСИТЬ УШИ,razv’esit’ ushi,To hang out one’s ears,To be so carried away by what one hears that one doesn’t react properly or forgets about something important.,,0.0
442,443,РАЗРЯДИТЬ АТМОСФЕРУ,razr’adit’ atmosf’eru,To discharge the atmosphere.,To relieve tension; to create an atmosphere that will cool down a fiery argument.,To clear the air,0.0
443,444,РАСХЛЕБЫВАТЬ КАШУ,raskhl’obyvat’ kashu,To eat up kasha,To disentangle something; to put things right; to clear up a mess; to get oneself out of a mess.,,0.0
444,445,РВАТЬ И МЕТАТЬ,rvat’ i metat’,To tear and throw.,To get irritated; to be in a towering rage; to show angry impatience; to worry oneself into a state of temper.,To fret and fume,0.0
446,447,РВАТЬ кого-либо НА ЧАСТИ,rvat’ na chasti,To tear someone into pieces.,To pester someone with questions or requests; to bother someone too much; not to give someone any peace.,,0.0
447,448,РЕВЕТЬ БЕЛУГОЙ,revet’ belugoy,To roar like a beluga.,To wail; to scream; to howl with frenzy.,,0.0
448,449,РОДИТЬСЯ В СОРОЧКЕ,rodittsa v sorochk’e,To be born with a shirt on,"To be always lucky, successful, happy.",To always fall on one’s feet; to be born with a silver spoon in one’s mouth.,0.0
452,453,РУКА НЕ ДРОГНЕТ,ruka n’e drogn’et,One’s hand wouldn’t shake doing something.,One won’t hesitate to do something; one will do something without scruple.,One wouldn’t think twice about doing something; without a qualm.,0.0
453,454,РУКА HE ПОДНИМАЕТСЯ,ruka n’e podnimayetsa,One’s hand won’t rise.,One can’t bring himself to do something; one is hesitant about doing something.,Not to have the heart to do something.,0.0
454,455,РУКИ КОРОТКИ,ruki korotki,One’s hands are short.,"One doesn’t have enough authority, power or strength to do something; one is in no position to do something.",Just try! You coudn’t if you tried!,0.0
455,456,РУКИ HE ДОХОДЯТ,ruki n’e dokhod’at,One’s hands don’t reach.,One has no time or possibility to undertake something.,,0.0
457,458,РУКОЙ HE ДОСТАНЕШЬ,rukoy n’e dostan’esh,You can’t reach someone with your hand.,Someone is out of reach (usually said of someone in a high position).,,0.0
460,461,САДИТЬСЯ НА ШЕЮ,sadittsa na sheyu,To sit down on someone’s neck,To submit someone to one’s willy; to put someone under one’s complete control; to use someone as a tool.,To live off someone,0.0
461,462,САДИТЬСЯ HE В СВОИ САНИ,sadittsa n’e v svoi sani,To get into someone else’s sleigh.,"To undertake to do something one knows nothing about or which one who has inadequate knowledge, training, etc.; to occupy a post for which one is unsuited.",,0.0
462,463,САМИ С УСАМИ,sami s usami,We too have a moustache of our own.,Not young in wisdom; no worse than.,We weren’t born yesterday.,0.0
463,464,САПОГИ ВСМЯТКУ,sapogi vsm’atku,Soft-boiled boots.,"Rot, nonsense, rubbish, a trifling matter, nothing.",,0.0
469,470,СГЛАЖИВАТЬ ОСТРЫЕ УГЛЫ,sglazhivat’ ostryye ugly,To smooth sharp corners.,To smooth things over; to relieve the situation; to ease tension; to adjust differences,,0.0
471,472,СГУЩАТЬ КРАСКИ,sgushchat’ kraski,To thicken the paints.,To exaggerate; to picture something as being worse than it really is.,To lay it on thick,0.0
472,473,СДАВАТЬ В АРХИВ,sdavat’ v arkhiv,To relegate to the archives.,To dismiss as unfit for a particular use; to bury in oblivion as something obsolete or useless.,,0.0
